rank,venue,publications
659,Journal of Engineering Materials and Technology,2
660,Journal of Engineering Education Transformations,2
661,Journal of Crystal Growth,2
662,International Journal of Structural Engineering,2
663,Journal of Mathematical Imaging and Vision,2
664,Mapana Journal of Sciences,2
665,Letters in Applied NanoBioScience,2
666,International Journal of Applied Engineering Research,2
667,Journal of Flow Visualization and Image Processing,2
668,Journal of Industrial and Engineering Chemistry,2
669,Journal of Non-Equilibrium Thermodynamics,2
670,Japanese Journal of Applied Physics,2
671,Journal of High Energy Astrophysics,2
672,Journal of Astronomical Instrumentation,2
673,Journal of Interconnection Networks,2
674,Journal of Sustainable Cement-Based Materials,2
675,International Journal of Geotechnical Earthquake Engineering,2
676,Journal of Structural Chemistry,2
677,"International Journal of Human Computation & Intellegence, Vol 03, Issue 01, PP 299-308, Jan/Feb",2
678,Journal of Hazardous Materials Advances,2
679,Journal of Spectral Theory,2
680,Journal of Biomedical Optics,2
681,International Transactions on Electrical Energy Systems,2
682,"Journal of Harbin Engineering University, ISSN:",2
683,Journal of Simulation,2
684,International Journal of Industrial and Systems Engineering,2
685,Journal of Scientific Computing,2
686,International Journal of Innovation and Technology Management,2
687,International Journal of Electrical Power & Energy Systems,2
688,Journal of Sustainable Metallurgy,2
689,Journal of Intelligent Material Systems and Structures,2
690,Journal of Raman Spectroscopy,2
691,Journal Européen des Systèmes Automatisés,2
692,Journal of Industrial Textiles,2
693,Journal of The Royal Society Interface,2
694,"International Journal of Engineering Research & Technology (IJERT),ISSN:",2
695,Journal of Information and Optimization Sciences,2
696,Journal of Aerospace Engineering,2
697,Journal of Applied Mathematics Statistics and Informatics,2
698,Journal of Instrumentation,2
699,Journal of Applied Mathematics and Computing,2
700,Journal of Transport Geography,2
701,Journal of Hydrology,2
702,Journal of Advanced Manufacturing Systems,2
703,International Journal of Electronics,2
704,Journal of Integrated Science and Technology,2
705,Journal of Adhesion Science and Technology,2
706,International Journal of Engineering Trends and Technology,2
707,Journal für die reine und angewandte Mathematik (Crelles Journal),2
708,Journal of Intelligent & Robotic Systems,2
709,International Journal of Innovations & Advancement in Computer Science,2
710,Journal of Breath Research,2
711,Journal of Non-Newtonian Fluid Mechanics,2
712,International Journal of Computers and Applications,2
713,Journal of the Air Transport Research Society,2
714,Journal of Functional Biomaterials,2
715,International Journal of Mathematical Engineering and Management Sciences,2
716,International Journal of Wireless and Mobile Computing,2
717,International Journal of Mechanics and Materials in Design,2
718,International Journal of Engineering,2
719,Journal of the Franklin Institute,2
720,Journal of Peridynamics and Nonlocal Modeling,2
721,Journal of Composites Science,2
722,Journal of Computational Chemistry,2
723,Journal of Organometallic Chemistry,2
724,International Journal of Nanotechnology,2
725,Journal of Operator Theory,2
726,International Journal of Communication Networks and Information Security (IJCNIS),2
727,International Journal of Combinatorial Graph Theory and Applications,2
728,"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",2
729,Journal of Computational and Nonlinear Dynamics,2
730,Journal of the ACM,2
731,Journal of Cleaner Production,2
732,Journal of Quantitative Spectroscopy and Radiative Transfer,2
733,International Journal of Computing and Digital Systems,2
734,International Research Journal on Advanced Engineering and Management (IRJAEM),2
735,Journal of Graph Theory,2
736,Journal of Process Mechanical Engineering-Part E,2
737,Journal of Power Electronics and Devices,2
738,International Journal of Critical Infrastructures,2
739,Journal of Polymer Research,2
740,Journal of Vibration and Control,2
741,International Journal of Intelligent Enterprise,2
742,International Journal of Interactive Mobile Technologies (iJIM),2
743,Journal of Physics Materials,2
744,International Materials Reviews,2
745,International Journal on Smart Sensing and Intelligent Systems,2
746,International Journal on Semantic Web and Information Systems,2
747,Journal of Water Resources Planning and Management,2
748,"International Journal of Control, Automation and Systems",2
749,International Journal of Control and Automation,2
750,International Journal of Machine Tools and Manufacture,2
751,"International Journal of Scientific Research in Computer Science, Engineering and Information Technology",2
752,Journal of Electrical Systems,2
753,Materials Science and Engineering: B,2
754,2025 5th International Conference on Trends in Material Science and Inventive Materials (ICTMIM),2
755,IEEE Journal of Solid-State Circuits,2
756,IEEE Journal of Selected Topics in Quantum Electronics,2
757,Turkish World Mathematical Society Journal of Applied and Engineering Mathematics,2
758,Turkish Journal of Physiotherapy and Rehabilitation; 32(2):,2
759,Advanced International Journal for Research,2
760,Advanced sciences and technologies for security applications,2
761,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2
762,IEEE Journal of Quantum Electronics,2
763,"Advances in Geo-Science and Geo-Structures: Select Proceedings of GSGS 2020 …, 2021",2
764,Advances in Mathematics: Scientific Journal,2
765,"Advances in Science, Technology & Innovation/Advances in science, technology & innovation",2
766,Progress In Electromagnetics Research Letters,2
767,Progress in Engineering Science,2
768,IACR Transactions on Cryptographic Hardware and Embedded Systems,2
769,H2Open Journal,2
770,"Grenze International Journal of Engineering and Technology, June Issue",2
771,American Journal of Physics,2
772,Amrit Research Journal,2
773,Analytical Chemistry Letters,2
774,Transportation Research Part E Logistics and Transportation Review,2
775,Georgian Mathematical Journal,2
776,Transport and Telecommunication Journal,2
777,Transactions on Computer Systems and Networks,2
778,Frontiers in Quantum Science and Technology,2
779,Remote Sensing in Earth Systems Sciences,2
780,Design Science,2
781,Proceedings of the Institution of Mechanical Engineers Part I Journal of Systems and Control Engineering,2
782,IEEE Microwave and Wireless Components Letters,2
783,Wiley Interdisciplinary Reviews Energy and Environment,2
784,ZAMM - Journal of Applied Mathematics and Mechanics / Zeitschrift für Angewandte Mathematik und Mechanik,2
785,ACM Transactions on Accessible Computing,2
786,IGARSS 2022 - 2022 IEEE International Geoscience and Remote Sensing Symposium,2
787,Physics and Chemistry of Glasses European Journal of Glass Science and Technology Part B,2
788,IEEE Transactions on Semiconductor Manufacturing,2
789,IEEE Transactions on Robotics,2
790,Plasma Sources Science and Technology,2
791,Power Research - A Journal of CPRI,2
792,IEEE Transactions on Information Forensics and Security,2
793,IEEE Transactions on Industrial Informatics,2
794,IEEE Transactions on Evolutionary Computation,2
795,Wiley Interdisciplinary Reviews Data Mining and Knowledge Discovery,2
796,IEEE Open Journal of Power Electronics,2
797,ACS Macro Letters,2
798,IEEE Transactions on Cybernetics,2
799,IEEE Transactions on Consumer Electronics,2
800,IEEE Transactions on Cloud Computing,2
801,IEEE Transactions on Circuits and Systems for Video Technology,2
802,ASIAN JOURNAL OF CONVERGENCE IN TECHNOLOGY,2
803,Vadose Zone Journal,2
804,IEEE Transactions on Audio Speech and Language Processing,2
805,IEEE Systems Journal,2
806,IEEE Photonics Journal,2
807,Proceedings of the Institution of Mechanical Engineers Part B Journal of Engineering Manufacture,2
808,Frontiers in Optics + Laser Science APS/DLS,2
809,"Frontiers in Optics + Laser Science 2025 (FiO, LS)",2
810,"Frontiers in Optics + Laser Science 2024 (FiO, LS)",2
811,The European Physical Journal Applied Physics,2
812,CIRP journal of manufacturing science and technology,2
813,Canadian Geotechnical Journal,2
814,Emission Control Science and Technology,2
815,Science,2
816,Carbon letters,2
817,Catalysis Letters,2
818,Electrochemical Science Advances,2
819,International Journal of Advanced Research in Computer Science,2
820,Cell Reports Physical Science,2
821,Scientific Annals of Computer Science,2
822,EURASIP Journal on Audio Speech and Music Processing,2
823,Civil Engineering Journal,2
824,Bulletin of the Malaysian Mathematical Sciences Society,2
825,"ECTI Transactions on Electrical Engineering, Electronics, and Communications",2
826,Cloud Computing and Data Science,2
827,The Eurasia Proceedings of Science Technology Engineering and Mathematics,2
828,EAI Endorsed Transactions on Pervasive Health and Technology,2
829,Combustion Science and Technology,2
830,Composites Science and Technology,2
831,The Aeronautical Journal,2
832,Corrosion Reviews,2
833,Duke Mathematical Journal,2
834,Critical reviews in solid state and materials sciences/CRC critical reviews in solid state and materials sciences,2
835,Current Opinion in Solid State and Materials Science,2
836,SSRG International Journal of Electronics and Communication Engineering,2
837,Energy & Environmental Science,2
838,Frontiers in Optics + Laser Science 2021,2
839,SAE International Journal of Advances and Current Practices in Mobility,2
840,Annual Reviews in Control,2
841,Frontiers in Molecular Biosciences,2
842,Applied Surface Science Advances,2
843,The Science of The Total Environment,2
844,The Open Civil Engineering Journal,2
845,Fire Safety Journal,2
846,FME Transactions,2
847,Royal Society Open Science,2
848,Rupkatha Journal on Interdisciplinary Studies in Humanities,2
849,Asian Journal of Convergence in Technology,2
850,The Journal of Supercritical Fluids,2
851,SAE International Journal of Passenger Vehicle Systems,2
852,Brazilian Journal of Physics,2
853,European Journal of Medicinal Chemistry,2
854,European Journal of Mechanics - B/Fluids,2
855,SIAM Journal on Control and Optimization,2
856,SIAM Journal on Numerical Analysis,2
857,European Journal of Electrical Engineering and Computer Science,2
858,The Journal of Adhesion,2
859,Biotechnology Letters,2
860,European Journal of Control,2
861,European Journal of Combinatorics,2
862,European Journal of Applied Science Engineering and Technology,2
863,Brazilian Journal of Development,2
864,"5th International Conference on Recent Trends in Computer Science and Technology, ICRTCST 2024 - Proceedings",2
865,Design science and innovation,2
866,2025 3rd International Conference on Smart Systems for applications in Electrical Sciences (ICSSES),2
867,Nature Reviews Physics,2
868,"2022 Second International Conference on Computer Science, Engineering and Applications (ICCSEA)",2
869,iScience,2
870,Microgravity Science and Technology,2
871,Microelectronics Journal,2
872,i-manager’s Journal on Future Engineering and Technology,2
873,2023 International Conference on Computer Science and Emerging Technologies (CSET),2
874,"2023 International Conference on Data Science and Network Security, ICDSNS 2023",2
875,International Journal for Computational Methods in Engineering Science and Mechanics,2
876,Imaging Science Journal,2
877,2023 International Conference on Recent Advances in Science and Engineering Technology (ICRASET),2
878,ITU Journal on Future and Evolving Technologies,2
879,Optoelectronics Letters,2
880,"International Journal for Research Trends and Innovation, Paper ID: IJRTI",2
881,International Journal for Research in Applied Science & Engineering Technology (IJRASET) ISSN:,2
882,"2023 International Conference on Recent Advances in Science and Engineering Technology (ICRASET), B G NAGARA, India,",2
883,Indian Journal of Chemical Technology,2
884,2019 IEEE Bombay Section Signature Conference (IBSSC),2
885,2024 8th International Conference on Robotics and Automation Sciences (ICRAS),2
886,"2019 International Conference on Data Science and Communication, IconDSC 2019",2
887,2021 IEEE Bombay Section Signature Conference (IBSSC),2
888,2020 URSI Regional Conference on Radio Science ( URSI-RCRS),2
889,Information Sciences,2
890,Int. J. of Aquatic Science,2
891,2020 International Conference on Advanced Computer Science and Information Systems (ICACSIS),2
892,"2022 12th International Conference on Cloud Computing, Data Science &amp; Engineering (Confluence)",2
893,Nanoscience &amp; Nanotechnology-Asia,2
894,"Internal Journal of Novel, Research and Development (IJNRD), Volume 10, Issue 1 ISSN:",2
895,International Conference on Current Research Trends in Engineering Science and Management,2
896,"International Conference on Emerging Technologies in Computer Science, ICETCS-",2
897,2020 IEEE International Conference on Plasma Science (ICOPS),2
898,Modern Physics Letters B,2
899,Nature Nanotechnology,2
900,Indian Journal of Neurosurgery,2
901,Indian Journal of Engineering and Materials Sciences,2
902,2024 2nd International Conference on Emerging Trends in Engineering and Medical Sciences (ICETEMS),2
903,Indonesian Journal of Electrical Engineering and Informatics (IJEEI),2
904,International Journal of Advanced Manufacturing Technology,2
905,physica status solidi (RRL) - Rapid Research Letters,2
906,Metal Science and Heat Treatment,2
907,2024 Second International Conference on Data Science and Information System (ICDSIS),2
908,"2024 International Conference on Advances in Computing Research on Science Engineering and Technology, ACROSET 2024",2
909,International Journal of Ad Hoc and Ubiquitous Computing,2
910,"presented and published in proceedings of National Conference on Science, Engineering and Management-NCSEM 2k19, TOCE, May 8-9th,",2
911,"2024 International Conference on Emerging Technologies in Computer Science for Interdisciplinary Applications (ICETCS), Bengaluru, India,",2
912,Journal of Mining and Metallurgy Section B Metallurgy,1
913,The Journal of The Textile Institute,1
914,Journal of Engineering Mathematics,1
915,Journal of Modeling and Simulation of Materials,1
916,The Journal of Solid Waste Technology and Management,1
917,The Journal of the Astronautical Sciences,1
918,"Journal of Materials Chemistry B 10 (41), 8462-8477, 2022",1
919,"Springer Nature- Computer Science 1 , 159(2020), https://doi.org/10.1007/s42979-020-00161-8",1
920,"in International Research Journal Of Modernization In Engineering Technology And Science (IRJMETS), Volume 4, Issue 12, December",1
921,in the Journal of Engineering Education Transformations,1
922,"The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences",1
923,Journal of Materials Research,1
924,"The Journal of the Indian Mathematical Society, Volume 88, Issue 1-2, 08-22, 2021",1
925,"The Journal of Engineering, IET, pp 1-7, July",1
926,The Journal of Chemical Thermodynamics,1
927,"in International Research Journal of Modernization in Engineering Technology and Science, Volume:05, Issue:07, July-",1
928,Journal of Materials Science Composites,1
929,"Journal of Mines, Metals and Fuels, Dec.",1
930,Stem Cells Translational Medicine,1
931,The Journal of Analysis,1
932,Journal of Materials Science Materials in Engineering,1
933,"The Journal of Engineering-IET, Wiley Publication",1
934,Journal of Molecular Graphics and Modelling,1
935,The Lancet,1
936,The Scientific World JOURNAL,1
937,"in International Journal of Innovative Research in Computer and Communication Engineering, Volume 8, Issue 7, July",1
938,Transactions of Kremenchuk Mykhailo Ostrohradskyi National University,1
939,"Journal of Engineering, Design and Technology",1
940,"in International Journal of Safety and Security Engineering,",1
941,"in International Journal of Vehicle Information and Communication Systems, Inderscience Publications, Vol. 6, No. 3-4pp 251-273.(Scopus Indexed Journal)",1
942,Space Science Reviews,1
943,Journal of Management in Engineering,1
944,Journal of Manufacturing Engineering,1
945,"Journal of Molecular Liquids (Elsevier), 353, 118731",1
946,"The journal of the Indian Mathematical Society, 2019 (Online available)",1
947,Springer Nature Journal,1
948,"Journal of Engineering Education Transformations, Volume 34, January",1
949,Journal of Engineering and Applied Sciences,1
950,Journal of Marine Engineering &amp; Technology,1
951,Journal of Marine Science and Engineering,1
952,"Journal of Material Science: Materials in Electronics, 36:1470",1
953,Journal of Engineering and Applied Science,1
954,The Review of Contemporary Scientific and Academic Studies,1
955,The Quarterly Journal of Mechanics and Applied Mathematics,1
956,"The Pharma Innovation Journal 11 (3), 85-90, 2022",1
957,"Journal of Engineering Science & Technology Review, Vol.14, Issue 1",1
958,The National Medical Journal of India,1
959,"in Journal of Environmental Protection and Ecology,",1
960,Journal of Electroceramics,1
961,"Journal of Engineering Education Transformations , Volume 34 , No. 2, October",1
962,Superconductor Science and Technology,1
963,The Indonesian Journal of Computer Science,1
964,is published in Journal of Machine and Computing Jan,1
965,Journal of Metals Materials and Minerals,1
966,"in a Journal named “International Journal of Computer Science and Engineering (IJCSE) Volume 7, Special Issue 16, May",1
967,"in “Engineering, Technology & Applied Science Research”, Vol. 15, No. 6,",1
968,"in the ""Journal of Communication Engineering and its Innovations"", Volume 6, Issue 3,PP 1-10, October",1
969,"The IUP Journal of Electrical and Electronics Engineering, April",1
970,"in the journal of Wireless Communications and Mobile Computing, vol.",1
971,Journal of Mathematical Sciences & Computational Mathematics,1
972,Journal of Mathematics and Music,1
973,"in the international journal of Special Topics & Reviews in Porous Media, Vol 9, issue 4, pp-143-154, January",1
974,in the 7th international conference on “Space Science & Communication (IconSpace,1
975,Journal of Mechanical Design,1
976,Journal of Mechanical Science and Technology,1
977,"Journal of Membrane Science 600, 117854, 2020",1
978,"in the Journal of Intelligent & Fuzzy Systems vol. 40, no. 4,",1
979,"in the International Journal of Management, Engineering, and Technology, Vol. - 1, No. 1,",1
980,Journal of Medical Imaging and Health Informatics,1
981,"The European Physical Journal Plus, 137/1, 13-Jan",1
982,Journal of Medical Physics,1
983,The European Physical Journal E,1
984,Journal of Electronics Electromedical Engineering and Medical Informatics,1
985,Journal of Micro/Nanolithography MEMS and MOEMS,1
986,"nternational Journal of Wavelets, Multiresolution and Information Processing",1
987,Surface Science,1
988,The European Physical Journal D,1
989,in SSRG International Journal of Electrical and Electronics Engineering Published 20 January,1
990,in SSRG International Journal of Electrical and Electronics Engineering Published 30 September,1
991,"The International journal of Analytical and Experimental Modal Analysis, Vol 11, Issue 8,",1
992,"Suraj Punj Journal For Multidisciplinary Research,Volume 9, Issue 4, March",1
993,Journal of Engineering (United Kingdom),1
994,in SSRG International Journal of Electrical and Electronics Engineering Published 31 December,1
995,"in WSEAS TRANSACTION on ELECTRONICS, VOL 13,",1
996,Journal of Materials Science: Materials in Engineering,1
997,"TRANSACTIONS OF THE INDIAN CERAMIC SOCIETY, 83, 215-220",1
998,"Journal of Microelectronics, Electronic Components and Materials, Informacije MIDEM Vol. 51, No. 2,",1
999,Journal of Microscopy,1
1000,Journal of Materials and Engineering,1
1001,"The International journal of Analytical and Experimental Modal Analysis, Vol 11, Issue 7,",1
1002,The International Journal of Robotics Research,1
1003,Journal of Electronics and Informatics,1
1004,"The Indonesian Journal of Electrical Engineering and Computer Science (a Scopus indexed journal) (IJEECS), ISSN: 2502-4760",1
1005,Journal of Environmental Management,1
1006,"The Indonesian Journal of Electrical Engineering and Computer Science (IJEECS), Vol.33, No.2, February2024, pp. 1205-1215",1
1007,The Astrophysical Journal Supplement Series,1
1008,"in WSEAS TRANSACTIONS on ELECTRONICS, Volume 15,",1
1009,"Journal of Luminescence, 286, 121368",1
1010,Transactions of Nonferrous Metals Society of China,1
1011,WSEAS TRANSACTIONS ON SYSTEMS AND CONTROL,1
1012,Wiley Interdisciplinary Reviews Nanomedicine and Nanobiotechnology,1
1013,i-manager’s Journal on Civil Engineering,1
1014,Journal of Hydrology Regional Studies,1
1015,Journal of Global Information Technology Management,1
1016,Journal of Geophysical Research Planets,1
1017,Journal of Geometry and Physics,1
1018,Journal of ICT Research and Applications,1
1019,Water science and technology library,1
1020,"Journal of ICT Research and Applications, December",1
1021,Water Conservation Science and Engineering,1
1022,i-manager’s Journal on Electrical Engineering,1
1023,"Journal of ICT Research and Applications, Vol. 17 No. 2, September",1
1024,Vikalpa The Journal for Decision Makers,1
1025,"i-manager's Journal on Software Engineering, 13(3), 39-45, March,",1
1026,Journal of Informatics and Mathematical Sciences,1
1027,Journal of Fusion Energy,1
1028,"Vidhyayana, An International Multidisciplinary Peer-Reviewed E-Journal, Volume 10, Special Issue 3, February",1
1029,Journal of Information &amp; Knowledge Management,1
1030,Journal of Information Policy,1
1031,"VTU Journal of Engineering Sciences and Management, Vol: 1, No: 4, 24-30, 2019",1
1032,Journal of Information Security and Applications,1
1033,"Utilizing ict for didactics of social and experimental sciences, 187-216, 2025",1
1034,"Journal of Information Systems Engineering and Management, Vol. 10 No. 47s (",1
1035,Journal of Information Technology Teaching Cases,1
1036,Journal of Information Technology and Digital World,1
1037,Ukrainian Journal of Physics,1
1038,"Journal of Huazhong University of Science and Technology,Vo.50, Issue 5,",1
1039,i-manager's Journal on Power Systems Engineering,1
1040,iScience Notes,1
1041,"has been published in International Journal of Information Technology, Springer Nature",1
1042,Journal of Hand and Microsurgery,1
1043,e-Journal of Surface Science and Nanotechnology,1
1044,at the 10th IEEE Asia-Pacific Conference on Computer Science and Data Engineering(IEEE-CSDE,1
1045,"at MDPI Applied Sciences, Web of Science Indexed (Q2), 12th December,",1
1046,at International Conference on Mathematical Methods and Models in Biosciences and Young Scientists School-BIOMATH19 held during 16th -22nd June,1
1047,"Zeichen Journal, ISSN:",1
1048,has been published in International Journal of Engineering Trends and Technology (IJETT- Scopus Indexed) – Special Issues - ICT,1
1049,"ZAMM‐Journal of Applied Mathematics and Mechanics (Wiley), e2021005 26",1
1050,"Journal of Heat Transfer, 142(2), 22701-9, 2020",1
1051,"Journal of Heat Transfer, Volume 143, 041802-1, 2021",1
1052,"ZAMM‐Journal of Applied Mathematics and Mechanics (Wiley), 102(11)",1
1053,World Scientific Annual Review of Artificial Intelligence,1
1054,"World Review of Science, Technology and Sustainable Development",1
1055,Wind energy science,1
1056,World Journal of Engineering and Technology,1
1057,Journal of High Speed Networks,1
1058,Journal of High-Frequency Communication Technologies,1
1059,"Journal of Huazhong University of Science and Technology 1671, 4512, 2022",1
1060,"Journal of Huazhong University of Science and Technology, Vol 50, issue 4, pp 1-8, , April",1
1061,"Journal of Huazhong University of Science and Technology, Volume 50, Issue 9 , July –",1
1062,"Journal of Huazhong University of Science and Technology, Volume 50, Issuse 10, PID:HST-",1
1063,World Journal of Engineering,1
1064,"has been published in International Journal of Security and Its Applications (IJSIA), ISSN:",1
1065,World Journal of Advanced Engineering Technology and Sciences,1
1066,World Conference on Information Systems for Business Management (pp. 277-286). Singapore: Springer Nature Singapore,1
1067,"Journal of Huazhong University of Science and Technology, Volume 50,Issue 04, April-",1
1068,Journal of Function Spaces,1
1069,Journal of Food Composition and Analysis,1
1070,Transactions of the Association for Computational Linguistics,1
1071,Tsinghua Science and Technology,1
1072,"in International Journal for Research in Applied Science and Engineering Technology, Jan",1
1073,Journal of International Crisis and Risk Communication Research,1
1074,Journal of Internet Services and Information Security,1
1075,Journal of Ionic Liquids,1
1076,"in International Journal of Advanced computer science and applications, Vol.14, No.9, Sep 30,",1
1077,"Journal of King Saud University - Computer and Information Sciences, Volume34(Issue6)Pages, p.3713To – 3721 DOI https://doi.org/10.1016/j.jksuci.2020.08.014",1
1078,Journal of Librarianship and Information Science,1
1079,Journal of Library Development,1
1080,"Turkish Journal of Computer and Mathematics Education 12 (12), 1903-1908, 2021",1
1081,"Turkish Journal of Computer and Mathematics Education 12 (10), 2758-2762, 2021",1
1082,"Journal of Lightwave Technology 42 (23), 8076-8085, 2024",1
1083,Journal of Liposome Research,1
1084,Journal of Logic and Computation,1
1085,"Turkish Journal of Computer and Mathematics Education 12 (12), 3149-3156, 2021",1
1086,"Journal of Low Frequency Noise, Vibration and Active Control",1
1087,Tribologia - Finnish Journal of Tribology,1
1088,Trends in Pharmacological Sciences,1
1089,"in International Journal of Electronics , publisher Taylor and Francis, https://doi.org/10.",1
1090,"has been published in Degres Journal, ISSN:",1
1091,Journal of Eye Movement Research,1
1092,Journal of Equine Veterinary Science,1
1093,Transactions on computational science and computational intelligence,1
1094,"Journal of Macromolecular Science, Part B",1
1095,Journal of Magnetic Resonance Open,1
1096,Transactions of the London Mathematical Society,1
1097,Journal of Magnetism and Magnetic Materials 562 (,1
1098,Journal of Fluids Engineering,1
1099,"in International Journal for Research Trends and Innovation, IJRTI, Volume:09,Issue:05,May",1
1100,"in CFD Letters 15, Issue 11(",1
1101,"Turkish Journal of Computer and Mathematics Education 12 (7), 1659-1668, 2021",1
1102,"in EMITTER International Journal of Engineering Technology, ISSN:",1
1103,Journal of Innovation & Knowledge,1
1104,Journal of Innovative Image Processing,1
1105,Journal of Fluorescence,1
1106,"in IEEE Sensors Journal, vol. 20, no. 15,",1
1107,Journal of Inorganic and Organometallic Polymers and Materials (,1
1108,"Turkish Journal of Computer and Mathematics Education Vol 12 (11), 4604-4609, 2021",1
1109,"Turkish Journal of Computer and Mathematics Education 12 (9), 2747-2751, 2021",1
1110,"in IEEE Systems Journal, vol. 14, no. 1,",1
1111,"in INTERNATIONAL JOURNAL FOR RESEARCH TRENDS AND INNOVATION, IJRTI, Volume:09,Issue:05,May",1
1112,"Turkish Journal of Computer and Mathematics Education 12 (9), 195-202, 2021",1
1113,"Turkish Journal of Computer and Mathematics Education 12 (8), 2053-2071, 2021",1
1114,"Journal of Integrated Science and Technology, ScienceIn Publishing",1
1115,"Journal of Intelligent and Fuzzy Systems, IOS Press",1
1116,Journal of Intelligent & Fuzzy Systems,1
1117,"Turkish Journal of Computer and Mathematics Education 12 (7), 1651-1658, 2021",1
1118,"Turkish Journal of Computer and Mathematics Education 12 (5), 1406-1413, 2021",1
1119,"in INTERNATIONAL JOURNAL OF PROGRESSIVE RESEARCH IN ENGINEERING MANAGEMENT AND SCIENCE (IJPREMS), Vol 03, Issue 07, July",1
1120,"Turkish Journal of Computer and Mathematics Education 12 (3), 3437-3443, 2021",1
1121,Journal of Intelligent Manufacturing,1
1122,"in INTERNATIONAL JOURNAL OF PROGRESSIVE RESEARCH IN ENGINEERING MANAGEMENT AND SCIENCE (IJPREMS), Vol. 03, Issue 07, July",1
1123,"Turkish Journal of Computer and Mathematics Education 12 (2), 2397-2403, 2021",1
1124,"in International Journal Computer Network and Information Security Published Online on December 8,",1
1125,"Turkish Journal of Computer and Mathematics Education 12 (2), 1140-1146, 2021",1
1126,"Turkish Journal of Computer and Mathematics Education 12 (1S), 663-670, 2021",1
1127,Journal of Intelligent and Fuzzy Systems,1
1128,U.Porto Journal of Engineering,1
1129,Science and Culture,1
1130,Journal of Molecular Structure 1262 (2022) 132971,1
1131,"Journal of Molecular Structure 1264, 133224, 2022",1
1132,"Part E: Journal of Process Mechanical Engineering, 237(4)",1
1133,"Journal of Xidian University, vol. 18, no. 1, Page No: 64 – 73 Jan.",1
1134,"Journal of Xidian University, ISSN No:",1
1135,"Journal of Xidian University, 14 (5), 5449-5460, 2020",1
1136,"Journal of Xidian University, 14 (5), 4620-4627, 2020",1
1137,"Journal of Xidian University, 14 (5), 3311-3322, 2020",1
1138,"Journal of Wireless Mobile Networks, Ubiquitous Computing, and Dependable Applications",1
1139,Pedagogical Review,1
1140,PeerJ Computer Science,1
1141,Pertanika Journal of Science and Technology,1
1142,Pertanika journal of science & technology,1
1143,Journal of Water Management Modeling.,1
1144,Journal of Visualized Experiments,1
1145,Philosophical Transactions of the Royal Society B Biological Sciences,1
1146,"Physica Scripta (IOP Science), 97(8), 85220",1
1147,Parichart Journal Thaksin University,1
1148,Palestine Journal of Mathematics (Accepted),1
1149,"Palarch’s Journal of Archaeology of Egypt/Egyptology 18, 1-14, 2021",1
1150,Journal of the Association for Information Systems,1
1151,Journal of the Energy Institute,1
1152,Oxford Open Materials Science,1
1153,PFG – Journal of Photogrammetry Remote Sensing and Geoinformation Science,1
1154,"PURUSHARTHA-A journal of Management, Ethics and Spirituality 13 (2), 52-62, 2020",1
1155,Journal of the Bombay Natural History Society (JBNHS),1
1156,Journal of the Australian Ceramic Society,1
1157,Journal of the American Statistical Association,1
1158,"Journal of mines metals and fuels, 71/1, 113-120",1
1159,"PalArch's Journal of Archaeology of Egypt/Egyptology 17 (7), 9926-9941, 2020",1
1160,"Journal of the American Ceramic Society 102 (7), 4082-4091, 2019",1
1161,"PalArch's Journal of Archaeology of Egypt/Egyptology 18 (4), 3291-3296, 2021",1
1162,"PalArch's Journal of Archaeology of Egypt/Egyptology 18 (4), 5854-5859, 2021",1
1163,"PalArch’s Journal of Archaeology of Egypt/Egyptology 17 (9), 4393-4410, 2020",1
1164,Journal of physical education and public health.,1
1165,"Physical Review B 103,",1
1166,Journal of Vibration Engineering &amp; Technologies,1
1167,"Physical Review B 108,",1
1168,Journal of Theoretical Probability,1
1169,Journal of Thermal Engineering,1
1170,"Journal of Thermal Analysis and Calorimetry, 147, 14939-14951",1
1171,"Journal of Thermal Analysis and Calorimetry 143 (4), 3039-3046, 2021",1
1172,Journal of Theoretical and Computational Acoustics,1
1173,"Journal of Theoretical and Applied Information Technology, 100(23)",1
1174,Proceedings of the 2025 18th International Conference on Computer Science and Information Technology,1
1175,Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education V. 1,1
1176,"Proceedings of International Conference on Communication, Computer Sciences and Engineering, IC3SE 2024",1
1177,Proceedings of the 3rd ACM India Joint International Conference on Data Science &amp; Management of Data (8th ACM IKDD CODS &amp; 26th COMAD),1
1178,Proceedings of the 7th Joint International Conference on Data Science &amp; Management of Data (11th ACM IKDD CODS and 29th COMAD),1
1179,"Journal of The Institution of Engineers (India): Series B, Vol. 102, Issue 3, pp-447-454",1
1180,Journal of The Institution of Engineers (India): Series A,1
1181,Journal of The Institution of Engineers (India) Series E,1
1182,Journal of The Institution of Engineers (India) Series C,1
1183,"Proceedings of National conference on exploring the nexus:science and medical advancements,9th December",1
1184,"Proceedings of 7th International Conference on Inventive Material Science and Applications, ICIMA 2025",1
1185,Physical Review D,1
1186,Journal of Turbulence,1
1187,Journal of Vacuum Science & Technology A Vacuum Surfaces and Films,1
1188,"Journal of VLSI Design and Signal Processing,e-ISSN:",1
