rank,researcher,institution,theses,research_score
69,Prabhakar Anjana,International Institute of Information Technology Bangalore,1,3
70,Prayag Gowgi S K,Indian Institute of Science Bangalore,1,3
71,Preetha S,CMR Institute of Technology,1,3
72,Preetham J,Dayananda Sagar College of Engineering,1,3
73,Preethi R K,Indian Institute of Science Bangalore,1,3
74,RADHIKA M G,R V College of Engineering,1,3
75,R Yashwanth,International Institute of Information Technology Bangalore,1,3
76,R V Kavitha,R V College of Engineering,1,3
77,Rajesh K R,Indian Institute of Science Bangalore,1,3
78,R Kiran,Indian Institute of Science Bangalore,1,3
79,R Karthikeyan,R V College of Engineering,1,3
80,R Ammu,International Institute of Information Technology Bangalore,1,3
81,Pundarika Sughosh,Indian Institute of Science Bangalore,1,3
82,Prosad Asish,Indian Institute of Science Bangalore,1,3
83,Priyanka V,Indian Institute of Science Bangalore,1,3
84,Priyanka Tripathi,Indian Institute of Science Bangalore,1,3
85,Priyanka B N,Indian Institute of Science Bangalore,1,3
86,Priyamvada Indla Rajitha Sai,Indian Institute of Science Bangalore,1,3
87,Priyadarshani Suchi,Indian Institute of Science Bangalore,1,3
88,Premika T S,Indian Institute of Science Bangalore,1,3
89,Rajesh K B,Indian Institute of Science Bangalore,1,3
90,Rakesh R,Indian Institute of Science Bangalore,1,3
91,Rajesh P,B.M.S. College of Engineering,1,3
92,Roopa K R,M.S. Ramaiah Institute of Technology,1,3
93,Roopa Farshi,Dayananda Sagar College of Engineering,1,3
94,Roopa D,B.M.S. College of Engineering,1,3
95,Ronghe Anshaj,Indian Institute of Science Bangalore,1,3
96,Rimalapudi Sarvendranath,Indian Institute of Science Bangalore,1,3
97,Richa Tengshe,CMR Institute of Technology,1,3
98,Resma K S,R V College of Engineering,1,3
99,Reshma V R,Indian Institute of Science Bangalore,1,3
100,Reshma Mohan T,Indian Institute of Science Bangalore,1,3
101,Rekapalli Monica,Indian Institute of Science Bangalore,1,3
102,Rejesh N A,Indian Institute of Science Bangalore,1,3
103,Rehal Arun,Indian Institute of Science Bangalore,1,3
104,Reddy Siddavatam Ravi Prakash,Indian Institute of Science Bangalore,1,3
105,Reddy Rani Vangimalla,International Institute of Information Technology Bangalore,1,3
106,Ray Chowdhury Sayak,Indian Institute of Science Bangalore,1,3
107,Ravindra S,Dayananda Sagar College of Engineering,1,3
108,Roopa J,R V College of Engineering,1,3
109,Roopesh R,PES University,1,3
110,Ravi Kumar D,Indian Institute of Science Bangalore,1,3
111,Roshny N Kurup,Dayananda Sagar College of Engineering,1,3
112,S Sharath,Indian Institute of Science Bangalore,1,3
113,S M Shyam,International Institute of Information Technology Bangalore,1,3
114,Rudresh Sunil,Indian Institute of Science Bangalore,1,3
115,Rubini PE,CMR Institute of Technology,1,3
116,Roy Suprateek,Indian Institute of Science Bangalore,1,3
117,Roy Sukanta,Indian Institute of Science Bangalore,1,3
118,Roy Shamibrota,Indian Institute of Science Bangalore,1,3
119,Roy Kaustav,Indian Institute of Science Bangalore,1,3
120,Roy Durbar,Indian Institute of Science Bangalore,1,3
121,Roy Chowdhury Sulob,Indian Institute of Science Bangalore,1,3
122,Roy Chaudhuri Rajashri,Indian Institute of Science Bangalore,1,3
123,Roy Aritra,Indian Institute of Science Bangalore,1,3
124,Roy Anindo,Indian Institute of Science Bangalore,1,3
125,Roy Amal,Indian Institute of Science Bangalore,1,3
126,Rosline Mary A,CMR Institute of Technology,1,3
127,Ravindra Harshitha,International Institute of Information Technology Bangalore,1,3
128,Ravi Divya,Indian Institute of Science Bangalore,1,3
129,Rajeswari M,R V College of Engineering,1,3
130,Ramkumar B,Indian Institute of Science Bangalore,1,3
131,Ramgopal Segu,Dayananda Sagar College of Engineering,1,3
132,Rameshwar V Arvind,Indian Institute of Science Bangalore,1,3
133,Ramesh Lekshmi,Indian Institute of Science Bangalore,1,3
134,Raman Ramakrishnan,International Institute of Information Technology Bangalore,1,3
135,Ramamurthy Chinmaye,International Institute of Information Technology Bangalore,1,3
136,Ramachandra Sheshadri Kalkunte,Indian Institute of Science Bangalore,1,3
137,Ramabhadran Ramkrishnan,Indian Institute of Science Bangalore,1,3
138,Ram Ranashree,Indian Institute of Science Bangalore,1,3
139,Ram Prabhakar Kathirvel,Indian Institute of Science Bangalore,1,3
140,Ram Nilawar Sagar,Indian Institute of Science Bangalore,1,3
141,Raksha P S,International Institute of Information Technology Bangalore,1,3
142,Rakhi S,M.S. Ramaiah Institute of Technology,1,3
143,Poonam Vijay Tijare,CMR Institute of Technology,1,3
144,Rakesh N,Indian Institute of Science Bangalore,1,3
145,Rajsekhar K,Indian Institute of Science Bangalore,1,3
146,Ramji V,Indian Institute of Science Bangalore,1,3
147,Ramoji Shreyas,Indian Institute of Science Bangalore,1,3
148,Raveendrakumar T H,M.S. Ramaiah Institute of Technology,1,3
149,Rana Himanshu,Indian Institute of Science Bangalore,1,3
150,Rautela Mahindra Singh,Indian Institute of Science Bangalore,1,3
151,Raut Manish Suresh,Indian Institute of Science Bangalore,1,3
152,Ratnasri K,Indian Institute of Science Bangalore,1,3
153,Rathod Sribhanupratap R,Indian Institute of Science Bangalore,1,3
154,Rathod Nihesh,Indian Institute of Science Bangalore,1,3
155,Rathod Darshan Dineshkumar,Indian Institute of Science Bangalore,1,3
156,Rastogi Navya,Indian Institute of Science Bangalore,1,3
157,Rastogi Aditya,Indian Institute of Science Bangalore,1,3
158,Rasipuram Sowmya,International Institute of Information Technology Bangalore,1,3
159,Rashmi R Deshpande,R V College of Engineering,1,3
160,Rasheed Abdur,Indian Institute of Science Bangalore,1,3
161,Ranjith Kumar P,Indian Institute of Science Bangalore,1,3
162,Ranjan B S C,Indian Institute of Science Bangalore,1,3
163,Rangwani Harsh,Indian Institute of Science Bangalore,1,3
164,Ranganath D,R V College of Engineering,1,3
165,Pothnis Jayaram,Indian Institute of Science Bangalore,1,3
166,Phanendra Kumar Attada,Indian Institute of Science Bangalore,1,3
167,Poojitha C G,B.M.S. College of Engineering,1,3
168,Nair Pravin,Indian Institute of Science Bangalore,1,3
169,Nagrare Samiksha Rajkumar,Indian Institute of Science Bangalore,1,3
170,Nagendra Kumar M,R V College of Engineering,1,3
171,Nagendra Kumar,R V College of Engineering,1,3
172,Nagarjun K P,Indian Institute of Science Bangalore,1,3
173,Nagaraju P,R V College of Engineering,1,3
174,Nagaraja P,R V College of Engineering,1,3
175,Nagabhushan S N,Indian Institute of Science Bangalore,1,3
176,Nadkarni Priya J,Indian Institute of Science Bangalore,1,3
177,NAVEEN PRAKASH NORONHA,R V College of Engineering,1,3
178,N Suresha,B.M.S. College of Engineering,1,3
179,N SATISH KUMAR,R V College of Engineering,1,3
180,N P Sharvari,International Institute of Information Technology Bangalore,1,3
181,Mweene L,Indian Institute of Science Bangalore,1,3
182,Muzata Tanyaradzwa,Indian Institute of Science Bangalore,1,3
183,Mutnuri Venkata Satyanand,Indian Institute of Science Bangalore,1,3
184,Nair Abhishek Ramdas,Indian Institute of Science Bangalore,1,3
185,Nair Ramu R,Indian Institute of Science Bangalore,1,3
186,Pooja R,R V College of Engineering,1,3
187,Nair Syam Sundar Satheesan,Indian Institute of Science Bangalore,1,3
188,Naresh Yalagala,Indian Institute of Science Bangalore,1,3
189,Narendra Kumar,R V College of Engineering,1,3
190,Narayanaprasad Karthik Periyapattana,Indian Institute of Science Bangalore,1,3
191,Narayanan Nakul K,Indian Institute of Science Bangalore,1,3
192,Narayana Gopalakrishna,Indian Institute of Science Bangalore,1,3
193,Narang Shivika,Indian Institute of Science Bangalore,1,3
194,Nandi Sounak,Indian Institute of Science Bangalore,1,3
195,Nandanwar Sharad,Indian Institute of Science Bangalore,1,3
196,Nampoothiri Krishnadas Narayanan,Indian Institute of Science Bangalore,1,3
197,Namboodiri Krishnan K K,Indian Institute of Science Bangalore,1,3
198,Nambaje Claude,Indian Institute of Science Bangalore,1,3
199,Nalini Sampath,R V College of Engineering,1,3
200,Nalina M M,B.M.S. College of Engineering,1,3
201,Nakka Rajesh,Indian Institute of Science Bangalore,1,3
202,Nair Vineet,Indian Institute of Science Bangalore,1,3
203,Murugesan Kumar,International Institute of Information Technology Bangalore,1,3
204,Murugappan R,Indian Institute of Science Bangalore,1,3
205,Murthy L R D,Indian Institute of Science Bangalore,1,3
206,Murali Krishna,Indian Institute of Science Bangalore,1,3
207,Mohapatra Debasis,Indian Institute of Science Bangalore,1,3
208,Mohanty Reema,Indian Institute of Science Bangalore,1,3
209,Mohanta Zinia,Indian Institute of Science Bangalore,1,3
210,Mohana,R V College of Engineering,1,3
211,Mohan Manu S,Indian Institute of Science Bangalore,1,3
212,Mohan Kumar K,CMR Institute of Technology,1,3
213,Mog Kunjari,Indian Institute of Science Bangalore,1,3
214,Mittal Soumya,Indian Institute of Science Bangalore,1,3
215,Mitra Shankhanil,Indian Institute of Science Bangalore,1,3
216,Mitra Abhijit,Indian Institute of Science Bangalore,1,3
217,Mishra Tanmay,Indian Institute of Science Bangalore,1,3
218,Mishra Deepa,Indian Institute of Science Bangalore,1,3
219,Mishra Anupam,Indian Institute of Science Bangalore,1,3
220,Midhun E K,Indian Institute of Science Bangalore,1,3
221,Mevaldas Ladwani Vandana,International Institute of Information Technology Bangalore,1,3
222,Mondal Arijit,Indian Institute of Science Bangalore,1,3
223,Mondal Pritiranjan,Indian Institute of Science Bangalore,1,3
224,Mondal Sandeep Kumar,Indian Institute of Science Bangalore,1,3
225,Mukherjee Madhubanti,Indian Institute of Science Bangalore,1,3
226,Muniganti Harikiran,Indian Institute of Science Bangalore,1,3
227,Mukhopadhyay Anwesha,Indian Institute of Science Bangalore,1,3
228,Mukherjee Sudipto,Indian Institute of Science Bangalore,1,3
229,Mukherjee Sougata,Indian Institute of Science Bangalore,1,3
230,Mukherjee Rudra,Indian Institute of Science Bangalore,1,3
231,Mukherjee Mousumi Beto,Indian Institute of Science Bangalore,1,3
232,Mukherjee Bulbul,Indian Institute of Science Bangalore,1,3
233,Mondal Soumita,Indian Institute of Science Bangalore,1,3
234,Muhammed Ashiq P E,Indian Institute of Science Bangalore,1,3
235,Mudunuri Sivaram Prasad,Indian Institute of Science Bangalore,1,3
236,Muazzam Usman Ul,Indian Institute of Science Bangalore,1,3
237,Mridha Subham,Indian Institute of Science Bangalore,1,3
238,Mr PUTTARAJU T D,CMR Institute of Technology,1,3
239,Mondal Surajit,Indian Institute of Science Bangalore,1,3
240,Naveen B,Indian Institute of Science Bangalore,1,3
241,Naveen Kumar G N,CMR Institute of Technology,1,3
242,Naveen Kumar Maddu,Indian Institute of Science Bangalore,1,3
243,Panachakel Jerrin Thomas,Indian Institute of Science Bangalore,1,3
244,Patil Shravani Mahesh,Indian Institute of Science Bangalore,1,3
245,Pathrikar Anil,Indian Institute of Science Bangalore,1,3
246,Patel Nagabhushan P M,Indian Institute of Science Bangalore,1,3
247,Pariyar Abhishek,Indian Institute of Science Bangalore,1,3
248,Parida Dipti Ranjan,Indian Institute of Science Bangalore,1,3
249,Pappa M,CMR Institute of Technology,1,3
250,Panwar Jatin,Indian Institute of Science Bangalore,1,3
251,Panwar Ashish,Indian Institute of Science Bangalore,1,3
252,Pandit Bhardwaj,Indian Institute of Science Bangalore,1,3
253,Pandey Vivek,Indian Institute of Science Bangalore,1,3
254,Pandey Ram Krishna,Indian Institute of Science Bangalore,1,3
255,Pandey Prafull,Indian Institute of Science Bangalore,1,3
256,Pandey Keerti,Indian Institute of Science Bangalore,1,3
257,Panda Sagar Ranjan,Indian Institute of Science Bangalore,1,3
258,Panda Biswajit,Indian Institute of Science Bangalore,1,3
259,Patil Vishakha,Indian Institute of Science Bangalore,1,3
260,Patra Jaysree,Indian Institute of Science Bangalore,1,3
261,Pattnaik Subrat Partha Sarathi,Indian Institute of Science Bangalore,1,3
262,Pavithra N,Indian Institute of Science Bangalore,1,3
263,Polachan Kurian,Indian Institute of Science Bangalore,1,3
264,Pokala Praveen Kumar,Indian Institute of Science Bangalore,1,3
265,Pillai Raji R,Indian Institute of Science Bangalore,1,3
266,Pillai Rahul Ravindran,CMR Institute of Technology,1,3
267,SHARAD S,B.M.S. College of Engineering,1,3
268,Peter Elizabath,Indian Institute of Science Bangalore,1,3
269,Pavithra H M,PES University,1,3
270,Paul Nobin,Indian Institute of Science Bangalore,1,3
271,Pavan Poojar,Dayananda Sagar College of Engineering,1,3
272,Pavan Kumar G V V R,Indian Institute of Science Bangalore,1,3
273,Paunikar Shweta,Indian Institute of Science Bangalore,1,3
274,Paul Subir,Indian Institute of Science Bangalore,1,3
275,Paul Sayan,Indian Institute of Science Bangalore,1,3
276,Paul Protik Kumar,Indian Institute of Science Bangalore,1,3
277,Panda Asish Kumar,Indian Institute of Science Bangalore,1,3
278,Paliwal Aastha,Indian Institute of Science Bangalore,1,3
279,Naveen P,Indian Institute of Science Bangalore,1,3
280,Palathingal Safvan,Indian Institute of Science Bangalore,1,3
281,Nishanth M P,Indian Institute of Science Bangalore,1,3
282,Nishanth Katam,Indian Institute of Science Bangalore,1,3
283,Nisha A S,Indian Institute of Science Bangalore,1,3
284,Nirmale Sangram Krishna,Indian Institute of Science Bangalore,1,3
285,Nirmala Jodalli,R V College of Engineering,1,3
286,Niranjan Ranjani,International Institute of Information Technology Bangalore,1,3
287,Nikhitha Pai,CMR Institute of Technology,1,3
288,Nikhil Krishnan M,Indian Institute of Science Bangalore,1,3
289,Nethravathi K A,R V College of Engineering,1,3
290,Nehru Devabharathi,Indian Institute of Science Bangalore,1,3
291,Nazeeh K M,Indian Institute of Science Bangalore,1,3
292,Nayana R Shenoy,R V College of Engineering,1,3
293,Nayak Kavya K,Indian Institute of Science Bangalore,1,3
294,Nayak Gaurav Kumar,Indian Institute of Science Bangalore,1,3
295,Nayak Bibhu Prasad,Indian Institute of Science Bangalore,1,3
296,Nithin V N,Dayananda Sagar College of Engineering,1,3
297,Nithya B,CMR Institute of Technology,1,3
298,Nithya B N,M.S. Ramaiah Institute of Technology,1,3
299,Paddillaya Neha,Indian Institute of Science Bangalore,1,3
300,Pal Uttam Mrinal,Indian Institute of Science Bangalore,1,3
301,Pal Souradeep,Indian Institute of Science Bangalore,1,3
302,Pal Rupam,Indian Institute of Science Bangalore,1,3
303,Pal Biswajit,Indian Institute of Science Bangalore,1,3
304,Pal Arkaprava,Indian Institute of Science Bangalore,1,3
305,Pal Anirban,Indian Institute of Science Bangalore,1,3
306,PRERANA CHAITHRA,R V College of Engineering,1,3
307,Nivya Muchikel,R V College of Engineering,1,3
308,PADMAVATHY N,CMR Institute of Technology,1,3
309,PADMAVATHI P,R V College of Engineering,1,3
310,P Suresh Varsha,International Institute of Information Technology Bangalore,1,3
311,Oraon Neha,International Institute of Information Technology Bangalore,1,3
312,Omkar Ramchandra Hegde,Indian Institute of Science Bangalore,1,3
313,Obbattu Sai Lakshmi Bhavana,Indian Institute of Science Bangalore,1,3
314,SANDHYA S,R V College of Engineering,1,3
315,Sachin K S,Indian Institute of Science Bangalore,1,3
316,SHUBHA B BARAVANI,R V College of Engineering,1,3
317,Tiwari Manasi,Indian Institute of Science Bangalore,1,3
318,Thottolil Rahisha,International Institute of Information Technology Bangalore,1,3
319,Thoota Sai Subramanyam,Indian Institute of Science Bangalore,1,3
320,Thomas Chinchu,International Institute of Information Technology Bangalore,1,3
321,Thanmayalaxmi D,CMR Institute of Technology,1,3
322,Thakur Anchal Singh,Indian Institute of Science Bangalore,1,3
323,Thakur Abu Bakar Siddiqui,Indian Institute of Science Bangalore,1,3
324,Telpande Swanand,Indian Institute of Science Bangalore,1,3
325,Teja Bhanu B,Indian Institute of Science Bangalore,1,3
326,Tarafdar Gourav,Indian Institute of Science Bangalore,1,3
327,Tara Prakash Gowdar,CMR Institute of Technology,1,3
328,Tadeo Inyalot Jude,Indian Institute of Science Bangalore,1,3
329,Taddesse Taye Melaku,Indian Institute of Science Bangalore,1,3
330,Tabitha Janumala,R V College of Engineering,1,3
331,TANUSREE CHAUDHURI,R V College of Engineering,1,3
332,T Karthikayini,R V College of Engineering,1,3
333,Thulasi Chand,Indian Institute of Science Bangalore,1,3
334,Tiwari Sudhanshu,Indian Institute of Science Bangalore,1,3
335,V S Kirthika Devi,R V College of Engineering,1,3
336,Tonannavar Sanketh,Indian Institute of Science Bangalore,1,3
337,V MURALIDHARAN,R V College of Engineering,1,3
338,Usha Padma,R V College of Engineering,1,3
339,Upreti Arvind,International Institute of Information Technology Bangalore,1,3
340,Upamanyu Kapil,Indian Institute of Science Bangalore,1,3
341,Upadhyaya Deepti B,Indian Institute of Science Bangalore,1,3
342,Upadhyay Anil Kumar,Indian Institute of Science Bangalore,1,3
343,Upadhya Vidyadhar,Indian Institute of Science Bangalore,1,3
344,Unni V S,Indian Institute of Science Bangalore,1,3
345,Umrao Saurabh,Indian Institute of Science Bangalore,1,3
346,Uma B,Dayananda Sagar College of Engineering,1,3
347,Tripathi Sandeep,Indian Institute of Science Bangalore,1,3
348,Tripathi Madhavi,Indian Institute of Science Bangalore,1,3
349,Tripathi Ananya,Indian Institute of Science Bangalore,1,3
350,Tripathi Aditay,Indian Institute of Science Bangalore,1,3
351,Tony Lima Agnel,Indian Institute of Science Bangalore,1,3
352,Swetlana Sucheta,Indian Institute of Science Bangalore,1,3
353,Swathi Y,CMR Institute of Technology,1,3
354,Swarnamugi M,CMR Institute of Technology,1,3
355,Swaminathan Shriram,Indian Institute of Science Bangalore,1,3
356,Sunita Kumari,PES University,1,3
357,Sumathy Vidya,Indian Institute of Science Bangalore,1,3
358,Sumathi M S,R V College of Engineering,1,3
359,Suma B,R V College of Engineering,1,3
360,Sukumar Reshma,Indian Institute of Science Bangalore,1,3
361,Sukhani Seema,Indian Institute of Science Bangalore,1,3
362,Sukhadeo Chavan Dhanaji,Indian Institute of Science Bangalore,1,3
363,Sukesh A,Indian Institute of Science Bangalore,1,3
364,Suji N,Indian Institute of Science Bangalore,1,3
365,Sujatha A,R V College of Engineering,1,3
366,Sujata D Badiger,R V College of Engineering,1,3
367,Sujan Chakraborthy,R V College of Engineering,1,3
368,Suganya S,CMR Institute of Technology,1,3
369,Sudhakar K N,CMR Institute of Technology,1,3
370,Sudha R Karbari,R V College of Engineering,1,3
371,Sunitha R,R V College of Engineering,1,3
372,Surabhi G D,Indian Institute of Science Bangalore,1,3
373,Suraj,Indian Institute of Science Bangalore,1,3
374,Suriya Begum,Dayananda Sagar College of Engineering,1,3
375,Suthar Sumit,Indian Institute of Science Bangalore,1,3
376,Sutar Nikhil,PES University,1,3
377,Sutapa Sarkar,CMR Institute of Technology,1,3
378,Sushma T,Dayananda Sagar College of Engineering,1,3
379,Sushma J,R V College of Engineering,1,3
380,Sushma B,M.S. Ramaiah Institute of Technology,1,3
381,Suresha C,R V College of Engineering,1,3
382,Suraj K,Indian Institute of Science Bangalore,1,3
383,Suresh N S,Indian Institute of Science Bangalore,1,3
384,Suresh N Priya,Indian Institute of Science Bangalore,1,3
385,Suresh Kumar S,M.S. Ramaiah Institute of Technology,1,3
386,Suresh Babu V,Dayananda Sagar College of Engineering,1,3
387,Surekha Raju Gondkar,Dayananda Sagar College of Engineering,1,3
388,Surana Prashant,Indian Institute of Science Bangalore,1,3
389,V P Abidha,International Institute of Information Technology Bangalore,1,3
390,Vadivukkarasi Jeyaselvan,Indian Institute of Science Bangalore,1,3
391,Subrahmanya V Bhat P,R V College of Engineering,1,3
392,Wayal Vaishali,Indian Institute of Science Bangalore,1,3
393,Vrind Tushar,International Institute of Information Technology Bangalore,1,3
394,Vivekanand S Gogi,R V College of Engineering,1,3
395,Vivek V P,Indian Institute of Science Bangalore,1,3
396,Vivek R S,Indian Institute of Science Bangalore,1,3
397,Vivek Bhandarkar V N,Dayananda Sagar College of Engineering,1,3
398,Viswanath Sanjay,Indian Institute of Science Bangalore,1,3
399,Vishnubhotla Vaishnavi,Indian Institute of Science Bangalore,1,3
400,Vishnu V S,Indian Institute of Science Bangalore,1,3
401,Vishnu Prasad C,PES University,1,3
402,Vinod V,Indian Institute of Science Bangalore,1,3
403,Vineeth Kumar V,Indian Institute of Science Bangalore,1,3
404,Vinayak R,Indian Institute of Science Bangalore,1,3
405,Vinay Kumar B R,Indian Institute of Science Bangalore,1,3
406,Vikram Raja Jothi,Indian Institute of Science Bangalore,1,3
407,Vijayaraj K,Indian Institute of Science Bangalore,1,3
408,Vutukuri Srianish,Indian Institute of Science Bangalore,1,3
409,Wazalwar Radhika,Indian Institute of Science Bangalore,1,3
410,Vaidehi M,Dayananda Sagar College of Engineering,1,3
411,Y SAILAJA,R V College of Engineering,1,3
412,kalnoor Gauri,B.M.S. College of Engineering,1,3
413,Zaki Mohammadi,Indian Institute of Science Bangalore,1,3
414,Yuvaraj I,Indian Institute of Science Bangalore,1,3
415,Yousuf Mohamed Amali Uthuman,Indian Institute of Science Bangalore,1,3
416,Yeggina Subash,Indian Institute of Science Bangalore,1,3
417,Yazar K U,Indian Institute of Science Bangalore,1,3
418,Yatish Muddappa,B.M.S. College of Engineering,1,3
419,Yasodharan Sarath Ampadi,Indian Institute of Science Bangalore,1,3
420,Yarra Chiranjeevi,Indian Institute of Science Bangalore,1,3
421,Yarajena Sai Saraswathi,Indian Institute of Science Bangalore,1,3
422,Yaduraj,R V College of Engineering,1,3
423,Yadav Shivani,Indian Institute of Science Bangalore,1,3
424,Yadav Sangeeta,Indian Institute of Science Bangalore,1,3
425,Yadav Parul,Indian Institute of Science Bangalore,1,3
426,Yadati Naganand,Indian Institute of Science Bangalore,1,3
427,Vijaya S M,Dayananda Sagar College of Engineering,1,3
428,Vijaya Raghavan Jayashree,Indian Institute of Science Bangalore,1,3
429,Vijay Sreeparvathy,Indian Institute of Science Bangalore,1,3
430,Vijay Rathinamala,Indian Institute of Science Bangalore,1,3
431,Vasudeva G,R V College of Engineering,1,3
432,Vashist Eklavy,Indian Institute of Science Bangalore,1,3
433,Vashishth Prabhat,Indian Institute of Science Bangalore,1,3
434,Vasanth Kumar R,Dayananda Sagar College of Engineering,1,3
435,Varsha V,Indian Institute of Science Bangalore,1,3
436,Varma Vegesina Sarath Chandra,Indian Institute of Science Bangalore,1,3
437,Varma Aditya,Indian Institute of Science Bangalore,1,3
438,Variar Harsha B,Indian Institute of Science Bangalore,1,3
439,Varghese Kiran George,Indian Institute of Science Bangalore,1,3
440,Vankeswaram Sai Krishna,Indian Institute of Science Bangalore,1,3
441,Vanam Sai Pranav,Indian Institute of Science Bangalore,1,3
442,Valens Hishamunda,Indian Institute of Science Bangalore,1,3
443,Vajha Myna,Indian Institute of Science Bangalore,1,3
444,Vaishakh K V,Indian Institute of Science Bangalore,1,3
445,Vaidya Kanishak,Indian Institute of Science Bangalore,1,3
446,Vasudha N,R V College of Engineering,1,3
447,Vedam Narayani,Indian Institute of Science Bangalore,1,3
448,Veena Gadad,R V College of Engineering,1,3
449,Venkatramanan D,Indian Institute of Science Bangalore,1,3
450,Vijaikumar M,Indian Institute of Science Bangalore,1,3
451,Vidya Patil,R V College of Engineering,1,3
452,Vidushi,Indian Institute of Science Bangalore,1,3
453,Verma Kundan Kumar,Indian Institute of Science Bangalore,1,3
454,Verma Krishna Kamlesh,Indian Institute of Science Bangalore,1,3
455,Verma Hemant Kumar,Indian Institute of Science Bangalore,1,3
456,Venkateswarlu Nitish M R D S,Indian Institute of Science Bangalore,1,3
457,Veesam Shivanand Kumar,Indian Institute of Science Bangalore,1,3
458,Venkatesha G,Dayananda Sagar College of Engineering,1,3
459,Venkatesh Naik,CMR Institute of Technology,1,3
460,Venkatesan Karthika,International Institute of Information Technology Bangalore,1,3
461,Venkataramu Vibha,Indian Institute of Science Bangalore,1,3
462,Vengalil Sunil Kumar,International Institute of Information Technology Bangalore,1,3
463,Velhal Shridhar,Indian Institute of Science Bangalore,1,3
464,Sudha M,R V College of Engineering,1,3
465,Subodh Mondal,PES University,1,3
466,SINDHU D V,R V College of Engineering,1,3
