rank,researcher,institution,theses,research_score
60,Anandan Megala,Indian Institute of Science Bangalore,1,3
61,Ananthan M,Indian Institute of Science Bangalore,1,3
62,Ananthanarasimhan J,Indian Institute of Science Bangalore,1,3
63,Angappan M,Indian Institute of Science Bangalore,1,3
64,Anil Amith G,Indian Institute of Science Bangalore,1,3
65,Anil Kumar R,Dayananda Sagar College of Engineering,1,3
66,Anil Kumar V,International Institute of Information Technology Bangalore,1,3
67,Anil Vishnu G K,Indian Institute of Science Bangalore,1,3
68,ANITHA N,R V College of Engineering,1,3
69,Ankit Kumar,Indian Institute of Science Bangalore,1,3
70,Annam Chandrakanth,Indian Institute of Science Bangalore,1,3
71,Anoop A M,Indian Institute of Science Bangalore,1,3
72,Anoop C S,Indian Institute of Science Bangalore,1,3
73,Ansari Aslam Md,Indian Institute of Science Bangalore,1,3
74,Ansh,Indian Institute of Science Bangalore,1,3
75,Anthony Christy Melson,B.M.S. College of Engineering,1,3
76,Anurenjan P R,Indian Institute of Science Bangalore,1,3
77,Anusha T M,B.M.S. College of Engineering,1,3
78,Aparanji Santosh,Indian Institute of Science Bangalore,1,3
79,Archana K,Indian Institute of Science Bangalore,1,3
80,Archana Nawandhar,CMR Institute of Technology,1,3
81,Arjun B S,Indian Institute of Science Bangalore,1,3
82,Arjun Somnath,Indian Institute of Science Bangalore,1,3
83,Arora Sweety,Indian Institute of Science Bangalore,1,3
84,Arthi S,Indian Institute of Science Bangalore,1,3
85,Arun I,Indian Institute of Science Bangalore,1,3
86,Arun Kalore Shubham,Indian Institute of Science Bangalore,1,3
87,Arunchaitanya Gadi Venkat,Indian Institute of Science Bangalore,1,3
88,Arunkumar K P,Indian Institute of Science Bangalore,1,3
89,Arunkumar P Chavan,R V College of Engineering,1,3
90,Arya Abhinav,Indian Institute of Science Bangalore,1,3
91,Asha K,R V College of Engineering,1,3
92,Ashwin K,Indian Institute of Science Bangalore,1,3
93,ASHWINI GADAG,R V College of Engineering,1,3
94,Ashwini H R,PES University,1,3
95,Aswal Abhilasha,International Institute of Information Technology Bangalore,1,3
96,Athaiya Snigdha,Indian Institute of Science Bangalore,1,3
97,Athul Joseph,Indian Institute of Science Bangalore,1,3
98,Austin Deepa,International Institute of Information Technology Bangalore,1,3
99,Avasarala Sankeerthana,Indian Institute of Science Bangalore,1,3
100,Awasthi Navchetan,Indian Institute of Science Bangalore,1,3
101,Ayobami Ajisafe Victor,Indian Institute of Science Bangalore,1,3
102,Azra Nasreen,R V College of Engineering,1,3
103,B S Ajay,International Institute of Information Technology Bangalore,1,3
104,B S Sowmya Lakshmi,B.M.S. College of Engineering,1,3
105,Babalad Shilpa,Indian Institute of Science Bangalore,1,3
106,Babu Jangala Ramesh,Indian Institute of Science Bangalore,1,3
107,Badhuk Pabitra,Indian Institute of Science Bangalore,1,3
108,Badita Ajay Kumar,Indian Institute of Science Bangalore,1,3
109,Badnikar Kedar Ashutosh,Indian Institute of Science Bangalore,1,3
110,Badola Mayank,Indian Institute of Science Bangalore,1,3
111,Bajaj Ketan,Indian Institute of Science Bangalore,1,3
112,Balachandar S,CMR Institute of Technology,1,3
113,Balachandra Kumaraswamy,International Institute of Information Technology Bangalore,1,3
114,Balaji Lakkimsetti,Indian Institute of Science Bangalore,1,3
115,Balaji Ramakrishnan,Dayananda Sagar College of Engineering,1,3
116,Bandla Sri Divya,Indian Institute of Science Bangalore,1,3
117,Bandyopadhyay Sambaran,Indian Institute of Science Bangalore,1,3
118,Banerjee Avijit,Indian Institute of Science Bangalore,1,3
119,Banerjee Poulami,Indian Institute of Science Bangalore,1,3
120,Bangaru Rajasekhar,Indian Institute of Science Bangalore,1,3
121,Bansal Ujjval,Indian Institute of Science Bangalore,1,3
122,Bansiwal Ashok,Indian Institute of Science Bangalore,1,3
123,Barman Pubali,Indian Institute of Science Bangalore,1,3
124,Baruah Dhrubjyoti,Indian Institute of Science Bangalore,1,3
125,Basha Mulla Saleem,Indian Institute of Science Bangalore,1,3
126,Basu Pranab,Indian Institute of Science Bangalore,1,3
127,Basu Subhadip,Indian Institute of Science Bangalore,1,3
128,Basumatary Jigmi,Indian Institute of Science Bangalore,1,3
129,Beera Damayanthi Jesudas,Indian Institute of Science Bangalore,1,3
130,Bhadak Bhalchandra,Indian Institute of Science Bangalore,1,3
131,Bhaduri Baibaswata,Indian Institute of Science Bangalore,1,3
132,Bhagwan Vaidya Girish,Indian Institute of Science Bangalore,1,3
133,Bhagyashri R Hanji,R V College of Engineering,1,3
134,Bharadwaj Pallavi,Indian Institute of Science Bangalore,1,3
135,Bharadwaja Sameera H,Indian Institute of Science Bangalore,1,3
136,Bharat Biswajit,Indian Institute of Science Bangalore,1,3
137,Bharath S,Indian Institute of Science Bangalore,1,3
138,Bharathi Gururaj,R V College of Engineering,1,3
139,Bhardwaj Devanshi,Indian Institute of Science Bangalore,1,3
140,Bhardwaj Mayank Ratan,Indian Institute of Science Bangalore,1,3
141,Bhardwaj Shubhangi,Indian Institute of Science Bangalore,1,3
142,Bharti Chandan,Indian Institute of Science Bangalore,1,3
143,Bhat Furqan A,Indian Institute of Science Bangalore,1,3
144,Bhat Sandeep,Indian Institute of Science Bangalore,1,3
145,Bhat Vighnesh S,Indian Institute of Science Bangalore,1,3
146,Bhat Vijayashree,Indian Institute of Science Bangalore,1,3
147,Bhatt Apoorv Naresh,Indian Institute of Science Bangalore,1,3
148,Bhatt Jaya,Indian Institute of Science Bangalore,1,3
149,Bhattacharjee Yudhajit,Indian Institute of Science Bangalore,1,3
150,Bhattacharya Debanjali,International Institute of Information Technology Bangalore,1,3
151,Bhavana V,R V College of Engineering,1,3
152,BHAVYA R,R V College of Engineering,1,3
153,Bibhanshu Nitish,Indian Institute of Science Bangalore,1,3
154,BINU D,R V College of Engineering,1,3
155,Bisen Omeshwari Yadorao,Indian Institute of Science Bangalore,1,3
156,Bishwajit Pal,Dayananda Sagar College of Engineering,1,3
157,Biswas Arpita,Indian Institute of Science Bangalore,1,3
158,Biswas Bidhan,Indian Institute of Science Bangalore,1,3
159,Biswas Mehek,Indian Institute of Science Bangalore,1,3
160,Biswas Rabindra,Indian Institute of Science Bangalore,1,3
161,Borah Pritam Jyoti,Indian Institute of Science Bangalore,1,3
162,Boruah Bhanupriya,Indian Institute of Science Bangalore,1,3
163,Brahma Madhuchhanda,Indian Institute of Science Bangalore,1,3
164,Burra Lakshmi Ramya Krishna,Indian Institute of Science Bangalore,1,3
165,Burud Nitin Baban,Indian Institute of Science Bangalore,1,3
166,C Usha,Dayananda Sagar College of Engineering,1,3
167,Chakka Sai Pradeep,International Institute of Information Technology Bangalore,1,3
168,Chakrabortty Tuhin,Indian Institute of Science Bangalore,1,3
169,CHALAPATHIRAJU KANUMURI,R V College of Engineering,1,3
170,Challa Vinay Reddy,Indian Institute of Science Bangalore,1,3
171,Chandra Aitichya,Indian Institute of Science Bangalore,1,3
172,Chandra Navin Kumar,Indian Institute of Science Bangalore,1,3
173,Chandrababu Anushka,International Institute of Information Technology Bangalore,1,3
174,Chandrahas,Indian Institute of Science Bangalore,1,3
175,Chandran Deepu,Indian Institute of Science Bangalore,1,3
176,Chandrasekhar Abishek,Indian Institute of Science Bangalore,1,3
177,Chandravanshi Vivek Kumar,Indian Institute of Science Bangalore,1,3
178,Chatterjee Aritra,Indian Institute of Science Bangalore,1,3
179,Chatterjee Kumar Suman,Indian Institute of Science Bangalore,1,3
180,Chatterjee Suman,Indian Institute of Science Bangalore,1,3
181,Chaturvedi Abhishek,Indian Institute of Science Bangalore,1,3
182,Chauhan Ayushi,Indian Institute of Science Bangalore,1,3
183,Chaupatnaik Anshuman,Indian Institute of Science Bangalore,1,3
184,Chavan Chandrashekhar Pomu,Indian Institute of Science Bangalore,1,3
185,Chavhan Suresh,Indian Institute of Science Bangalore,1,3
186,Chetan H,CMR Institute of Technology,1,3
187,Chethana G,R V College of Engineering,1,3
188,Chetupalli Srikanth Raj,Indian Institute of Science Bangalore,1,3
189,Chhajer Harsh,Indian Institute of Science Bangalore,1,3
190,Chhavi Gupta,R V College of Engineering,1,3
191,Chinmayananda A,Indian Institute of Science Bangalore,1,3
192,Chitnis Virupaksha,Indian Institute of Science Bangalore,1,3
193,Choubey Nipun,Indian Institute of Science Bangalore,1,3
194,Choudhary Harish Kumar,Indian Institute of Science Bangalore,1,3
195,Choudhury Samlesh,Indian Institute of Science Bangalore,1,3
196,Choudhury Saswat,Indian Institute of Science Bangalore,1,3
197,Chouhan Arun Singh,Indian Institute of Science Bangalore,1,3
198,Chowdhury Anubhab,Indian Institute of Science Bangalore,1,3
199,Chowdhury Arun Malla,Indian Institute of Science Bangalore,1,3
200,Chowdhury Jayabrata,Indian Institute of Science Bangalore,1,3
201,Chowdhury Rohit,Indian Institute of Science Bangalore,1,3
202,Chowdhury Shreya,Indian Institute of Science Bangalore,1,3
203,D Kavitha,R V College of Engineering,1,3
204,D R SASI REKHA,B.M.S. College of Engineering,1,3
205,D R Vasanthi,International Institute of Information Technology Bangalore,1,3
206,D Radha,R V College of Engineering,1,3
207,Dam Shimul Kumar,Indian Institute of Science Bangalore,1,3
208,Dandu Medha,Indian Institute of Science Bangalore,1,3
209,Danthuluri Sudha,CMR Institute of Technology,1,3
210,Dara V Krishna Sashank,International Institute of Information Technology Bangalore,1,3
211,Das Adhikary Gobinda,Indian Institute of Science Bangalore,1,3
212,Das Biswapriyo,Indian Institute of Science Bangalore,1,3
213,Das Debanjan,Indian Institute of Science Bangalore,1,3
214,Das Debasree,Indian Institute of Science Bangalore,1,3
215,Das Reshmi,Indian Institute of Science Bangalore,1,3
216,Das Sanhita,Indian Institute of Science Bangalore,1,3
217,Das Sarthak,Indian Institute of Science Bangalore,1,3
218,Das Saurabh Mohan,Indian Institute of Science Bangalore,1,3
219,Das Sayantan,Indian Institute of Science Bangalore,1,3
220,Das Shome Subhra,Indian Institute of Science Bangalore,1,3
221,Das Soumitra,Indian Institute of Science Bangalore,1,3
222,Das Subhas Chandra,Indian Institute of Science Bangalore,1,3
223,Dasgupta Pallavi,Indian Institute of Science Bangalore,1,3
224,Dash Aneesh,Indian Institute of Science Bangalore,1,3
225,Dash Anuj,Indian Institute of Science Bangalore,1,3
226,Dash Avinash,Indian Institute of Science Bangalore,1,3
227,Dash Rahul K,Indian Institute of Science Bangalore,1,3
228,Dash Sarthak,Indian Institute of Science Bangalore,1,3
229,Datta Prasad Madurai Ramesh,Indian Institute of Science Bangalore,1,3
230,Dave Himanshu L,Indian Institute of Science Bangalore,1,3
231,Dawnee S,Indian Institute of Science Bangalore,1,3
232,De Arnab,Indian Institute of Science Bangalore,1,3
233,Debnath Bhanjan,Indian Institute of Science Bangalore,1,3
234,Debnath Tutan,Indian Institute of Science Bangalore,1,3
235,Deekshith P K,Indian Institute of Science Bangalore,1,3
236,Deep Sneh,Indian Institute of Science Bangalore,1,3
237,Deepa L,Indian Institute of Science Bangalore,1,3
238,Deepa N P,Dayananda Sagar College of Engineering,1,3
239,DeepaH K,M.S. Ramaiah Institute of Technology,1,3
240,DEEPIKA B V,B.M.S. College of Engineering,1,3
241,DEEPIKA K,R V College of Engineering,1,3
242,DEEPTHI MURTHY T S,R V College of Engineering,1,3
243,Deepthi Rao M,PES University,1,3
244,Deheri Rashmita,Indian Institute of Science Bangalore,1,3
245,Deka Jayanta Kumar,Indian Institute of Science Bangalore,1,3
246,Deka Mandeep,Indian Institute of Science Bangalore,1,3
247,Desai Akshay,Indian Institute of Science Bangalore,1,3
248,Deshmukh Jayati,International Institute of Information Technology Bangalore,1,3
249,Devaraj Manoj Kumar K,Indian Institute of Science Bangalore,1,3
250,Dewani Rahul,Indian Institute of Science Bangalore,1,3
251,Dey Manoj,Indian Institute of Science Bangalore,1,3
252,Dey Pankaj,Indian Institute of Science Bangalore,1,3
253,Dhami Harish Singh,Indian Institute of Science Bangalore,1,3
254,Dhas Bensingh P,Indian Institute of Science Bangalore,1,3
255,Dhiman Jitendra Kumar,Indian Institute of Science Bangalore,1,3
256,Diddigi Raghuram Bharadwaj,Indian Institute of Science Bangalore,1,3
257,Dileepkumar V G,PES University,1,3
258,Dilip R,R V College of Engineering,1,3
259,Divya M N,M.S. Ramaiah Institute of Technology,1,3
260,Divya Mitta,Indian Institute of Science Bangalore,1,3
261,Divya R,CMR Institute of Technology,1,3
262,Divya Sharma,CMR Institute of Technology,1,3
263,Divya TL,R V College of Engineering,1,3
264,Divya Viswanath,CMR Institute of Technology,1,3
265,Divyaprabha K N,PES University,1,3
266,Diwan Chaitali,International Institute of Information Technology Bangalore,1,3
267,Dixit Saurabh,Indian Institute of Science Bangalore,1,3
268,Dolai Atanu,Indian Institute of Science Bangalore,1,3
269,Dominic Anumol,Indian Institute of Science Bangalore,1,3
270,Dr Mamtha V,R V College of Engineering,1,3
271,Dravid Ameya Atul,Indian Institute of Science Bangalore,1,3
272,Dsouza Peter Varun,Indian Institute of Science Bangalore,1,3
273,Duddu Atchuta Srinivas,Indian Institute of Science Bangalore,1,3
274,Dutta Ankit Kumar,Indian Institute of Science Bangalore,1,3
275,Dutta Gupta Sayak,Indian Institute of Science Bangalore,1,3
276,Dutta Sudakshina,Indian Institute of Science Bangalore,1,3
277,Dutta Suman,Indian Institute of Science Bangalore,1,3
278,Dutta Tanmay,Indian Institute of Science Bangalore,1,3
279,Dutta Titir,Indian Institute of Science Bangalore,1,3
280,Edachery Vimal,Indian Institute of Science Bangalore,1,3
281,Ering Pinom,Indian Institute of Science Bangalore,1,3
282,Esakkiraja N,Indian Institute of Science Bangalore,1,3
283,Evelyne Rita J,Indian Institute of Science Bangalore,1,3
284,Ezudheen P,Indian Institute of Science Bangalore,1,3
285,Feroz Morab,B.M.S. College of Engineering,1,3
286,Francis Biben,Indian Institute of Science Bangalore,1,3
287,G Gowda Bindu,International Institute of Information Technology Bangalore,1,3
288,G Pillai Anjali,Indian Institute of Science Bangalore,1,3
289,G V SHIVA REDDY,CMR Institute of Technology,1,3
290,Gandreti Santhosh B,Indian Institute of Science Bangalore,1,3
291,Ganesan Nithya,International Institute of Information Technology Bangalore,1,3
292,Ganguly Sourav,Indian Institute of Science Bangalore,1,3
293,Gaonkar Pradnya Tukaram,International Institute of Information Technology Bangalore,1,3
294,Garud Meera,Indian Institute of Science Bangalore,1,3
295,Gaur Jeet Kumar,Indian Institute of Science Bangalore,1,3
296,Gaur Tushar,Indian Institute of Science Bangalore,1,3
297,Gautam Ravi,Indian Institute of Science Bangalore,1,3
298,Gavaskar Ruturaj G,Indian Institute of Science Bangalore,1,3
299,Gayathri H,Indian Institute of Science Bangalore,1,3
300,Gayatri T,PES University,1,3
301,Gayen Meghabarna,Indian Institute of Science Bangalore,1,3
302,Gebrekrstos Amanuel,Indian Institute of Science Bangalore,1,3
303,GEENA GEORGE,B.M.S. College of Engineering,1,3
304,George Elizabeth Baby,Indian Institute of Science Bangalore,1,3
305,George Sweta Mariam,Indian Institute of Science Bangalore,1,3
306,Geremew Fekadu Mihret,Indian Institute of Science Bangalore,1,3
307,Ghalme Ganesh Sambhaji,Indian Institute of Science Bangalore,1,3
308,Ghatak Sambrita,Indian Institute of Science Bangalore,1,3
309,Ghosh Anupam,Indian Institute of Science Bangalore,1,3
310,Ghosh Archita,Indian Institute of Science Bangalore,1,3
311,Ghosh Prasenjit,Indian Institute of Science Bangalore,1,3
312,Ghosh Sanjay,Indian Institute of Science Bangalore,1,3
313,Ghoshal Suprovat,Indian Institute of Science Bangalore,1,3
314,Ghulyani Manu,Indian Institute of Science Bangalore,1,3
315,Girish B,Dayananda Sagar College of Engineering,1,3
316,Girish B,Indian Institute of Science Bangalore,1,3
317,Girish Kumar R,R V College of Engineering,1,3
318,GIRISH KUMAR R [1RV13PMN06] Under the,R V College of Engineering,1,3
319,Gladwin Jos K T,Indian Institute of Science Bangalore,1,3
320,Gnanavignesh R,Indian Institute of Science Bangalore,1,3
321,Godbole Mayur G,Indian Institute of Science Bangalore,1,3
322,Goel Priya,Indian Institute of Science Bangalore,1,3
323,Gopakumar R,Indian Institute of Science Bangalore,1,3
324,Gopan Gopika K,International Institute of Information Technology Bangalore,1,3
325,Gopi Lalgy,Indian Institute of Science Bangalore,1,3
326,Gorantla Bala Venkata Ramulu,Indian Institute of Science Bangalore,1,3
327,Gorantla Sruthi,Indian Institute of Science Bangalore,1,3
328,Goswami Shubham Kumar,Indian Institute of Science Bangalore,1,3
329,Govindan Srinivasan,Indian Institute of Science Bangalore,1,3
330,Gowdham Prabhakar P G,Indian Institute of Science Bangalore,1,3
331,GOWRAMMA G S,R V College of Engineering,1,3
332,Gowri R,Indian Institute of Science Bangalore,1,3
333,Gracious Tony,Indian Institute of Science Bangalore,1,3
334,Gubbi Venkatesh Sagar,Indian Institute of Science Bangalore,1,3
335,Guha Sirsha,Indian Institute of Science Bangalore,1,3
336,Guin Soumyajit,Indian Institute of Science Bangalore,1,3
337,Gunjal Samyama G H,Indian Institute of Science Bangalore,1,3
338,Gupta Abhay,Indian Institute of Science Bangalore,1,3
339,Gupta Anjali,Indian Institute of Science Bangalore,1,3
340,Gupta Arvind,Indian Institute of Science Bangalore,1,3
341,Gupta Deepika,Indian Institute of Science Bangalore,1,3
342,Gupta Devyani,Indian Institute of Science Bangalore,1,3
343,Gupta Garima,Indian Institute of Science Bangalore,1,3
344,Gupta Nikhil,Indian Institute of Science Bangalore,1,3
345,Gupta Nitin,Indian Institute of Science Bangalore,1,3
346,Gupta Pradeep,Indian Institute of Science Bangalore,1,3
347,Gupta Rahul,Indian Institute of Science Bangalore,1,3
348,Gupta Rajeev Kumar,Indian Institute of Science Bangalore,1,3
349,Gupta Ravi,Indian Institute of Science Bangalore,1,3
350,Gupta Saarthak,Indian Institute of Science Bangalore,1,3
351,Gupta Saurabh Kumar,Indian Institute of Science Bangalore,1,3
352,Gupta Shubham,Indian Institute of Science Bangalore,1,3
353,Gupta Swati,Indian Institute of Science Bangalore,1,3
354,Gurudatt H M,Indian Institute of Science Bangalore,1,3
355,H PAVITHRA,R V College of Engineering,1,3
356,Habeeb P,Indian Institute of Science Bangalore,1,3
357,Hanbal Rajesh Dinesh,International Institute of Information Technology Bangalore,1,3
358,Hanumesha A G,CMR Institute of Technology,1,3
359,Haque Asraful,Indian Institute of Science Bangalore,1,3
360,Haque Inzemamul,Indian Institute of Science Bangalore,1,3
361,Haribabu Gowtham Nimmal,Indian Institute of Science Bangalore,1,3
362,Hariprasad M,Indian Institute of Science Bangalore,1,3
363,Harish Kumar J R,Indian Institute of Science Bangalore,1,3
364,Harish Kumar N,Dayananda Sagar College of Engineering,1,3
365,Haritha K,Indian Institute of Science Bangalore,1,3
366,Harsha,CMR Institute of Technology,1,3
367,Harsha,R V College of Engineering,1,3
368,Harsha S V,B.M.S. College of Engineering,1,3
369,Harsha Vajjarapu,Indian Institute of Science Bangalore,1,3
370,Hebbale Deepthi,Indian Institute of Science Bangalore,1,3
371,Hebbar Archana P,Indian Institute of Science Bangalore,1,3
372,Hegde Abhijit,Indian Institute of Science Bangalore,1,3
373,Hegde Aditya,Indian Institute of Science Bangalore,1,3
374,Hegde Gautam,Indian Institute of Science Bangalore,1,3
375,HEMALATHA J N,R V College of Engineering,1,3
376,Hemanthini A R,Indian Institute of Science Bangalore,1,3
377,Hijazi Faizan,Indian Institute of Science Bangalore,1,3
378,Himanshu,Indian Institute of Science Bangalore,1,3
379,Hoque Syed Jiaul,Indian Institute of Science Bangalore,1,3
380,Hossain Md Nurtaj,Indian Institute of Science Bangalore,1,3
381,Hudhaifa Mohammed Abdulwahab,M.S. Ramaiah Institute of Technology,1,3
382,Iddalagi Pavan,International Institute of Information Technology Bangalore,1,3
383,Ilanila I P,Indian Institute of Science Bangalore,1,3
384,Illa Aravind,Indian Institute of Science Bangalore,1,3
385,Imthias Mohammed,Indian Institute of Science Bangalore,1,3
386,Indrakumar Sushma,Indian Institute of Science Bangalore,1,3
387,Ishani Mishra,CMR Institute of Technology,1,3
388,Ishaquddin Mohammed,Indian Institute of Science Bangalore,1,3
389,J Harsha,R V College of Engineering,1,3
390,Jacob Georgin,Indian Institute of Science Bangalore,1,3
391,Jacob John,Dayananda Sagar College of Engineering,1,3
392,Jaddivada Siddhartha,Indian Institute of Science Bangalore,1,3
393,Jagadeesh Bagali,R V College of Engineering,1,3
394,Jagadeshvaran P L,Indian Institute of Science Bangalore,1,3
395,Jagadish Akshatha,Indian Institute of Science Bangalore,1,3
396,Jaganathan Anuja,Indian Institute of Science Bangalore,1,3
397,JAGANNATHA K B,B.M.S. College of Engineering,1,3
398,Jagtap Suraj,Indian Institute of Science Bangalore,1,3
399,Jain Aditi,Indian Institute of Science Bangalore,1,3
400,Jain Hemant,Indian Institute of Science Bangalore,1,3
401,Jain Kritika,Indian Institute of Science Bangalore,1,3
402,Jain Noopur,Indian Institute of Science Bangalore,1,3
403,Jain Paras,Indian Institute of Science Bangalore,1,3
404,Jain Ritika,Indian Institute of Science Bangalore,1,3
405,Jairaja R,Indian Institute of Science Bangalore,1,3
406,Jalali Syed Idrees Afzal,Indian Institute of Science Bangalore,1,3
407,Jangde Ashutosh,Indian Institute of Science Bangalore,1,3
408,Jaswal Manpreet Kaur,International Institute of Information Technology Bangalore,1,3
409,Jat Sharmistha,Indian Institute of Science Bangalore,1,3
410,Jawahar J,Dayananda Sagar College of Engineering,1,3
411,Jawed Saniya,PES University,1,3
412,Jayamohan Meenu,Indian Institute of Science Bangalore,1,3
413,Jayanthi PN,R V College of Engineering,1,3
414,Jayashri Baburao Madalgi,R V College of Engineering,1,3
415,Jayasimha S R,R V College of Engineering,1,3
416,JeevithaShree D V,Indian Institute of Science Bangalore,1,3
417,Jha Neeta,International Institute of Information Technology Bangalore,1,3
418,Jha Pawan Kumar,Indian Institute of Science Bangalore,1,3
419,Jinan Rooji,Indian Institute of Science Bangalore,1,3
420,Jinka Ranganayakulu,R V College of Engineering,1,3
421,JITHA P T,B.M.S. College of Engineering,1,3
422,John Indu,Indian Institute of Science Bangalore,1,3
423,John Josy,Indian Institute of Science Bangalore,1,3
424,Joji Jinu,Indian Institute of Science Bangalore,1,3
425,Joseph Akhil,Indian Institute of Science Bangalore,1,3
426,Joseph Francis C,Indian Institute of Science Bangalore,1,3
427,Joseph Geethu,Indian Institute of Science Bangalore,1,3
428,Joseph Gracy,International Institute of Information Technology Bangalore,1,3
429,Joseph Joel P,Indian Institute of Science Bangalore,1,3
430,Joseph Robin,Indian Institute of Science Bangalore,1,3
431,Joshi Prakash,Indian Institute of Science Bangalore,1,3
432,Joshi Rakshitha Ulhas,Indian Institute of Science Bangalore,1,3
433,Joshi Rathin K,Indian Institute of Science Bangalore,1,3
434,Jyothi H R,Dayananda Sagar College of Engineering,1,3
435,Jyothsna K M,Indian Institute of Science Bangalore,1,3
436,Jyoti Neeli,R V College of Engineering,1,3
437,Jyoti Shetty,R V College of Engineering,1,3
438,K Ashraf Ameena,International Institute of Information Technology Bangalore,1,3
439,K N Nikhila,International Institute of Information Technology Bangalore,1,3
440,K R Rohit,Indian Institute of Science Bangalore,1,3
441,Kaamini M D,Indian Institute of Science Bangalore,1,3
442,Kabaleeshwaran R,Indian Institute of Science Bangalore,1,3
443,Kabiraj Arnab,Indian Institute of Science Bangalore,1,3
444,Kadambari Sai Kiran,Indian Institute of Science Bangalore,1,3
445,Kaka Fiyanshu,Indian Institute of Science Bangalore,1,3
446,Kalakanti Arun Kumar,International Institute of Information Technology Bangalore,1,3
447,kalnoor Gauri,B.M.S. College of Engineering,1,3
448,Kalra Anisha,Indian Institute of Science Bangalore,1,3
449,Kamal Arif Mohd,Indian Institute of Science Bangalore,1,3
450,Kamanchi Chandramouli,Indian Institute of Science Bangalore,1,3
451,Kamble Smita,Indian Institute of Science Bangalore,1,3
452,Kamna R Choudhury,CMR Institute of Technology,1,3
453,Kandula Muni Kumar,Indian Institute of Science Bangalore,1,3
454,Kandula Venkata Rama Sateesh,Indian Institute of Science Bangalore,1,3
455,Kanjilal Anwesha,Indian Institute of Science Bangalore,1,3
456,Kanthimathi S,CMR Institute of Technology,1,3
457,Kar Gurudas,Indian Institute of Science Bangalore,1,3
458,Karat Nujoom Sageer,Indian Institute of Science Bangalore,1,3
459,Karishma,International Institute of Information Technology Bangalore,1,3
460,Karthika P S,Indian Institute of Science Bangalore,1,3
461,Kashi Rajanikanth N,International Institute of Information Technology Bangalore,1,3
