Patent_ID,Field_ID
PAT_00108,BIOCHEMISTRY
PAT_00109,CHEMICAL
PAT_00110,COMPUTER_SCIENCE
PAT_00111,COMPUTER_SCIENCE
PAT_00112,POLYMER_TECHNOLOGY
PAT_00113,BIOMEDICAL_ENGINEERING
PAT_00114,COMMUNICATION
PAT_00115,PHYSICS
PAT_00116,ELECTRONICS
PAT_00117,MECHANICAL_ENGINEERING
PAT_00118,MECHANICAL_ENGINEERING
PAT_00119,ELECTRONICS
PAT_00120,ELECTRICAL
PAT_00121,MECHANICAL_ENGINEERING
PAT_00122,PHYSICS
PAT_00123,PHYSICS
PAT_00124,ELECTRONICS
PAT_00125,CIVIL
PAT_00126,BIOTECHNOLOGY
PAT_00127,PHYSICS
PAT_00128,CHEMICAL
PAT_00129,PHYSICS
PAT_00130,CHEMICAL
PAT_00131,ELECTRONICS
PAT_00132,ELECTRONICS
PAT_00133,ELECTRICAL
PAT_00134,ELECTRONICS
PAT_00135,ELECTRONICS
PAT_00136,ELECTRONICS
PAT_00137,ELECTRONICS
PAT_00138,BIOMEDICAL_ENGINEERING
PAT_00139,ELECTRICAL
PAT_00140,ELECTRICAL
PAT_00141,ELECTRICAL
PAT_00142,COMPUTER_SCIENCE
PAT_00143,CHEMICAL
PAT_00144,POLYMER_TECHNOLOGY
PAT_00145,POLYMER_TECHNOLOGY
PAT_00146,ELECTRONICS
PAT_00147,ELECTRICAL
PAT_00148,ELECTRONICS
PAT_00149,CIVIL
PAT_00150,PHYSICS
PAT_00151,CHEMICAL
PAT_00152,ELECTRICAL
PAT_00153,CHEMICAL
PAT_00154,BIOTECHNOLOGY
PAT_00155,COMMUNICATION
PAT_00156,MECHANICAL_ENGINEERING
PAT_00157,MECHANICAL_ENGINEERING
PAT_00158,MECHANICAL_ENGINEERING
PAT_00159,COMMUNICATION
PAT_00160,CHEMICAL
PAT_00161,ELECTRONICS
PAT_00162,ELECTRICAL
PAT_00163,MECHANICAL_ENGINEERING
PAT_00164,COMMUNICATION
PAT_00165,BIOTECHNOLOGY
PAT_00166,POLYMER_TECHNOLOGY
PAT_00167,POLYMER_TECHNOLOGY
PAT_00168,ELECTRONICS
PAT_00169,ELECTRONICS
PAT_00170,ELECTRONICS
PAT_00171,CHEMICAL
PAT_00172,MECHANICAL_ENGINEERING
PAT_00173,ELECTRONICS
PAT_00174,ELECTRONICS
PAT_00175,BIOMEDICAL_ENGINEERING
PAT_00176,CHEMICAL
PAT_00177,COMPUTER_SCIENCE
PAT_00178,ELECTRONICS
PAT_00179,PHYSICS
PAT_00180,PHYSICS
PAT_00181,COMMUNICATION
PAT_00182,BIOMEDICAL_ENGINEERING
PAT_00183,MECHANICAL_ENGINEERING
PAT_00184,PHYSICS
PAT_00185,ELECTRICAL
PAT_00186,BIOTECHNOLOGY
PAT_00187,COMPUTER_SCIENCE
PAT_00188,POLYMER_TECHNOLOGY
PAT_00189,MECHANICAL_ENGINEERING
PAT_00190,BIOCHEMISTRY
PAT_00191,BIOMEDICAL_ENGINEERING
PAT_00192,ELECTRONICS
PAT_00193,BIOMEDICAL_ENGINEERING
PAT_00194,MECHANICAL_ENGINEERING
PAT_00195,BIOMEDICAL_ENGINEERING
PAT_00196,BIOMEDICAL_ENGINEERING
PAT_00197,MECHANICAL_ENGINEERING
PAT_00198,PHYSICS
PAT_00199,POLYMER_TECHNOLOGY
PAT_00200,ELECTRONICS
PAT_00201,CHEMICAL
PAT_00202,PHYSICS
PAT_00203,BIOMEDICAL_ENGINEERING
PAT_00204,ELECTRONICS
PAT_00205,CHEMICAL
PAT_00206,PHYSICS
PAT_00207,CHEMICAL
PAT_00208,MECHANICAL_ENGINEERING
PAT_00209,MECHANICAL_ENGINEERING
PAT_00210,FOOD
PAT_00211,CHEMICAL
PAT_00212,COMPUTER_SCIENCE
PAT_00213,PHYSICS
PAT_00214,ELECTRONICS
PAT_00215,BIOMEDICAL_ENGINEERING
PAT_00216,BIOMEDICAL_ENGINEERING
PAT_00217,CHEMICAL
PAT_00218,MECHANICAL_ENGINEERING
PAT_00219,BIOMEDICAL_ENGINEERING
PAT_00220,BIOTECHNOLOGY
PAT_00221,BIOMEDICAL_ENGINEERING
PAT_00222,BIOMEDICAL_ENGINEERING
PAT_00223,MECHANICAL_ENGINEERING
PAT_00224,CHEMICAL
PAT_00225,ELECTRONICS
PAT_00226,COMPUTER_SCIENCE
PAT_00227,BIOTECHNOLOGY
PAT_00228,BIOTECHNOLOGY
PAT_00229,CHEMICAL
PAT_00230,ELECTRONICS
PAT_00231,ELECTRONICS
PAT_00232,POLYMER_TECHNOLOGY
PAT_00233,ELECTRICAL
PAT_00234,TEXTILE
PAT_00235,METALLURGY
PAT_00236,ELECTRONICS
PAT_00237,MECHANICAL_ENGINEERING
PAT_00238,POLYMER_TECHNOLOGY
PAT_00239,MECHANICAL_ENGINEERING
PAT_00240,CHEMICAL
PAT_00241,MECHANICAL_ENGINEERING
PAT_00242,COMMUNICATION
PAT_00243,MECHANICAL_ENGINEERING
PAT_00244,COMPUTER_SCIENCE
PAT_00245,BIOCHEMISTRY
PAT_00246,MECHANICAL_ENGINEERING
PAT_00247,ELECTRONICS
PAT_00248,ELECTRICAL
PAT_00249,BIOMEDICAL_ENGINEERING
PAT_00250,COMMUNICATION
PAT_00251,ELECTRICAL
PAT_00252,CHEMICAL
PAT_00253,MECHANICAL_ENGINEERING
PAT_00254,POLYMER_TECHNOLOGY
PAT_00255,CHEMICAL
PAT_00256,ELECTRICAL
PAT_00257,METALLURGY
PAT_00258,COMPUTER_SCIENCE
PAT_00259,MECHANICAL_ENGINEERING
PAT_00260,PHYSICS
PAT_00261,PHYSICS
PAT_00262,COMPUTER_SCIENCE
PAT_00263,BIOMEDICAL_ENGINEERING
PAT_00264,ELECTRICAL
PAT_00265,ELECTRONICS
PAT_00266,BIOTECHNOLOGY
PAT_00267,PHYSICS
PAT_00268,PHYSICS
PAT_00269,PHYSICS
PAT_00270,ELECTRICAL
PAT_00271,BIOMEDICAL_ENGINEERING
PAT_00272,ELECTRONICS
PAT_00273,BIOMEDICAL_ENGINEERING
PAT_00274,PHYSICS
PAT_00275,ELECTRONICS
PAT_00276,BIOTECHNOLOGY
PAT_00277,PHYSICS
PAT_00278,BIOMEDICAL_ENGINEERING
PAT_00279,BIOMEDICAL_ENGINEERING
PAT_00280,BIOMEDICAL_ENGINEERING
PAT_00281,PHYSICS
PAT_00282,BIOMEDICAL_ENGINEERING
PAT_00283,BIOMEDICAL_ENGINEERING
PAT_00284,BIOTECHNOLOGY
PAT_00285,BIOMEDICAL_ENGINEERING
PAT_00286,CHEMICAL
PAT_00287,PHYSICS
PAT_00288,CHEMICAL
PAT_00289,BIOCHEMISTRY
PAT_00290,PHYSICS
PAT_00291,PHYSICS
PAT_00292,CHEMICAL
PAT_00293,BIOMEDICAL_ENGINEERING
PAT_00294,ELECTRONICS
PAT_00295,COMPUTER_SCIENCE
PAT_00296,ELECTRONICS
PAT_00297,ELECTRONICS
PAT_00298,METALLURGY
PAT_00299,CHEMICAL
PAT_00300,ELECTRONICS
PAT_00301,ELECTRONICS
PAT_00302,ELECTRONICS
PAT_00303,MECHANICAL_ENGINEERING
PAT_00304,MECHANICAL_ENGINEERING
PAT_00305,PHYSICS
PAT_00306,BIOMEDICAL_ENGINEERING
PAT_00307,COMPUTER_SCIENCE
PAT_00308,BIOMEDICAL_ENGINEERING
PAT_00309,COMMUNICATION
PAT_00310,MECHANICAL_ENGINEERING
PAT_00311,MECHANICAL_ENGINEERING
PAT_00312,BIOTECHNOLOGY
PAT_00313,ELECTRICAL
PAT_00314,ELECTRICAL
PAT_00315,ELECTRONICS
PAT_00316,FOOD
PAT_00317,MECHANICAL_ENGINEERING
PAT_00318,ELECTRICAL
PAT_00319,COMPUTER_SCIENCE
PAT_00320,PHYSICS
PAT_00321,FOOD
PAT_00322,BIOMEDICAL_ENGINEERING
PAT_00323,BIOTECHNOLOGY
PAT_00324,CHEMICAL
PAT_00325,MECHANICAL_ENGINEERING
PAT_00326,ELECTRONICS
PAT_00327,CHEMICAL
PAT_00328,FOOD
PAT_00329,BIOMEDICAL_ENGINEERING
PAT_00330,MECHANICAL_ENGINEERING
PAT_00331,COMPUTER_SCIENCE
PAT_00332,ELECTRICAL
PAT_00333,BIOTECHNOLOGY
PAT_00334,BIOMEDICAL_ENGINEERING
PAT_00335,ELECTRONICS
PAT_00336,ELECTRONICS
PAT_00337,METALLURGY
PAT_00338,ELECTRONICS
PAT_00339,PHYSICS
PAT_00340,CHEMICAL
PAT_00341,ELECTRONICS
PAT_00342,ELECTRICAL
PAT_00343,CHEMICAL
PAT_00344,BIOTECHNOLOGY
PAT_00345,CHEMICAL
PAT_00346,PHYSICS
PAT_00347,ELECTRICAL
PAT_00348,ELECTRICAL
PAT_00349,BIOTECHNOLOGY
PAT_00350,POLYMER_TECHNOLOGY
PAT_00351,CHEMICAL
PAT_00352,ELECTRONICS
PAT_00353,MECHANICAL_ENGINEERING
PAT_00354,MECHANICAL_ENGINEERING
PAT_00355,ELECTRONICS
PAT_00356,COMPUTER_SCIENCE
PAT_00357,CHEMICAL
PAT_00358,BIOMEDICAL_ENGINEERING
PAT_00359,BIOCHEMISTRY
PAT_00360,CHEMICAL
PAT_00361,MECHANICAL_ENGINEERING
PAT_00362,ELECTRONICS
PAT_00363,COMMUNICATION
PAT_00364,MECHANICAL_ENGINEERING
PAT_00365,MECHANICAL_ENGINEERING
PAT_00366,MECHANICAL_ENGINEERING
PAT_00367,MECHANICAL_ENGINEERING
PAT_00368,ELECTRICAL
PAT_00369,BIOTECHNOLOGY
PAT_00370,PHYSICS
PAT_00371,COMPUTER_SCIENCE
PAT_00372,ELECTRONICS
PAT_00373,BIOMEDICAL_ENGINEERING
PAT_00374,CHEMICAL
PAT_00375,CHEMICAL
PAT_00376,ELECTRONICS
PAT_00377,ELECTRONICS
PAT_00378,ELECTRONICS
PAT_00379,BIOMEDICAL_ENGINEERING
PAT_00380,CHEMICAL
PAT_00381,COMPUTER_SCIENCE
PAT_00382,COMPUTER_SCIENCE
PAT_00383,ELECTRONICS
PAT_00384,MECHANICAL_ENGINEERING
PAT_00385,ELECTRONICS
PAT_00386,ELECTRONICS
PAT_00387,ELECTRONICS
PAT_00388,MECHANICAL_ENGINEERING
PAT_00389,METALLURGY
PAT_00390,ELECTRONICS
PAT_00391,MECHANICAL_ENGINEERING
PAT_00392,ELECTRONICS
PAT_00393,ELECTRICAL
PAT_00394,CHEMICAL
PAT_00395,CHEMICAL
PAT_00396,CHEMICAL
PAT_00397,CHEMICAL
PAT_00398,ELECTRICAL
PAT_00399,CHEMICAL
PAT_00400,CHEMICAL
PAT_00401,BIOMEDICAL_ENGINEERING
PAT_00402,PHYSICS
PAT_00403,MECHANICAL_ENGINEERING
PAT_00404,CHEMICAL
PAT_00405,ELECTRICAL
PAT_00406,CIVIL
PAT_00407,ELECTRICAL
PAT_00408,ELECTRONICS
PAT_00409,ELECTRONICS
PAT_00410,PHYSICS
PAT_00411,UNKNOWN
PAT_00412,FOOD
PAT_00413,COMMUNICATION
PAT_00414,ELECTRONICS
PAT_00415,COMPUTER_SCIENCE
PAT_00416,COMMUNICATION
PAT_00417,COMPUTER_SCIENCE
PAT_00418,COMMUNICATION
PAT_00419,ELECTRONICS
PAT_00420,ELECTRONICS
PAT_00421,COMPUTER_SCIENCE
PAT_00422,ELECTRONICS
PAT_00423,COMMUNICATION
PAT_00424,PHYSICS
PAT_00425,ELECTRICAL
PAT_00426,PHYSICS
PAT_00427,BIOMEDICAL_ENGINEERING
PAT_00428,COMPUTER_SCIENCE
PAT_00429,ELECTRICAL
PAT_00430,BIOMEDICAL_ENGINEERING
PAT_00431,ELECTRONICS
PAT_00432,MECHANICAL_ENGINEERING
PAT_00433,COMPUTER_SCIENCE
PAT_00434,COMMUNICATION
PAT_00435,PHYSICS
PAT_00436,ELECTRONICS
PAT_00437,MECHANICAL_ENGINEERING
PAT_00438,ELECTRICAL
PAT_00439,CHEMICAL
PAT_00440,ELECTRICAL
PAT_00441,CHEMICAL
PAT_00442,ELECTRONICS
PAT_00443,MECHANICAL_ENGINEERING
PAT_00444,CHEMICAL
PAT_00445,MECHANICAL_ENGINEERING
PAT_00446,COMPUTER_SCIENCE
PAT_00447,COMMUNICATION
PAT_00448,CHEMICAL
PAT_00449,CHEMICAL
PAT_00450,TEXTILE
PAT_00451,BIOMEDICAL_ENGINEERING
PAT_00452,BIOMEDICAL_ENGINEERING
PAT_00453,CHEMICAL
PAT_00454,BIOCHEMISTRY
PAT_00455,PHYSICS
PAT_00456,MECHANICAL_ENGINEERING
PAT_00457,COMPUTER_SCIENCE
PAT_00458,MECHANICAL_ENGINEERING
PAT_00459,COMMUNICATION
PAT_00460,ELECTRONICS
PAT_00461,COMPUTER_SCIENCE
PAT_00462,COMPUTER_SCIENCE
PAT_00463,BIOTECHNOLOGY
PAT_00464,ELECTRONICS
PAT_00465,FOOD
PAT_00466,FOOD
PAT_00467,COMPUTER_SCIENCE
PAT_00468,BIOMEDICAL_ENGINEERING
PAT_00469,COMPUTER_SCIENCE
PAT_00470,COMPUTER_SCIENCE
PAT_00471,COMPUTER_SCIENCE
PAT_00472,ELECTRONICS
PAT_00473,COMPUTER_SCIENCE
PAT_00474,BIOMEDICAL_ENGINEERING
PAT_00475,COMPUTER_SCIENCE
PAT_00476,COMMUNICATION
PAT_00477,PHYSICS
PAT_00478,MECHANICAL_ENGINEERING
PAT_00479,MECHANICAL_ENGINEERING
PAT_00480,METALLURGY
PAT_00481,MECHANICAL_ENGINEERING
PAT_00482,COMPUTER_SCIENCE
PAT_00483,CHEMICAL
PAT_00484,BIOMEDICAL_ENGINEERING
PAT_00485,CHEMICAL
PAT_00486,TEXTILE
PAT_00487,BIOMEDICAL_ENGINEERING
PAT_00488,BIOMEDICAL_ENGINEERING
PAT_00489,CHEMICAL
PAT_00490,BIOMEDICAL_ENGINEERING
PAT_00491,MECHANICAL_ENGINEERING
PAT_00492,BIOMEDICAL_ENGINEERING
PAT_00493,BIOMEDICAL_ENGINEERING
PAT_00494,MECHANICAL_ENGINEERING
PAT_00495,MECHANICAL_ENGINEERING
PAT_00496,COMPUTER_SCIENCE
PAT_00497,CHEMICAL
PAT_00498,CHEMICAL
PAT_00499,BIOTECHNOLOGY
PAT_00500,CHEMICAL
PAT_00501,BIOMEDICAL_ENGINEERING
PAT_00502,COMMUNICATION
PAT_00503,CHEMICAL
PAT_00504,PHYSICS
PAT_00505,ELECTRONICS
PAT_00506,CHEMICAL
PAT_00507,CHEMICAL
PAT_00508,COMPUTER_SCIENCE
PAT_00509,BIOMEDICAL_ENGINEERING
PAT_00510,ELECTRICAL
PAT_00511,ELECTRICAL
PAT_00512,COMPUTER_SCIENCE
PAT_00513,CHEMICAL
PAT_00514,CHEMICAL
PAT_00515,ELECTRONICS
PAT_00516,CHEMICAL
PAT_00517,CHEMICAL
PAT_00518,POLYMER_TECHNOLOGY
PAT_00519,COMPUTER_SCIENCE
PAT_00520,PHYSICS
PAT_00521,BIOMEDICAL_ENGINEERING
PAT_00522,MECHANICAL_ENGINEERING
PAT_00523,PHYSICS
PAT_00524,CHEMICAL
PAT_00525,ELECTRONICS
PAT_00526,PHYSICS
PAT_00527,ELECTRONICS
PAT_00528,COMPUTER_SCIENCE
PAT_00529,ELECTRONICS
PAT_00530,BIOTECHNOLOGY
PAT_00531,ELECTRONICS
PAT_00532,ELECTRONICS
PAT_00533,BIOMEDICAL_ENGINEERING
PAT_00534,MECHANICAL_ENGINEERING
PAT_00535,MECHANICAL_ENGINEERING
PAT_00536,CIVIL
PAT_00537,MECHANICAL_ENGINEERING
PAT_00538,ELECTRONICS
PAT_00539,ELECTRICAL
PAT_00540,POLYMER_TECHNOLOGY
PAT_00541,PHYSICS
PAT_00542,BIOMEDICAL_ENGINEERING
PAT_00543,CHEMICAL
PAT_00544,COMPUTER_SCIENCE
PAT_00545,ELECTRONICS
PAT_00546,MECHANICAL_ENGINEERING
PAT_00547,POLYMER_TECHNOLOGY
PAT_00548,COMMUNICATION
PAT_00549,BIOTECHNOLOGY
PAT_00550,POLYMER_TECHNOLOGY
PAT_00551,POLYMER_TECHNOLOGY
PAT_00552,MECHANICAL_ENGINEERING
PAT_00553,MECHANICAL_ENGINEERING
PAT_00554,ELECTRICAL
PAT_00555,MECHANICAL_ENGINEERING
PAT_00556,MECHANICAL_ENGINEERING
PAT_00557,PHYSICS
PAT_00558,POLYMER_TECHNOLOGY
PAT_00559,COMPUTER_SCIENCE
PAT_00560,ELECTRONICS
PAT_00561,BIOMEDICAL_ENGINEERING
PAT_00562,BIOMEDICAL_ENGINEERING
PAT_00563,CHEMICAL
PAT_00564,MECHANICAL_ENGINEERING
PAT_00565,CHEMICAL
PAT_00566,CHEMICAL
PAT_00567,ELECTRICAL
PAT_00568,MECHANICAL_ENGINEERING
PAT_00569,METALLURGY
PAT_00570,POLYMER_TECHNOLOGY
PAT_00571,COMPUTER_SCIENCE
PAT_00572,COMPUTER_SCIENCE
PAT_00573,CIVIL
PAT_00574,MECHANICAL_ENGINEERING
PAT_00575,CHEMICAL
PAT_00576,ELECTRONICS
PAT_00577,BIOTECHNOLOGY
PAT_00578,POLYMER_TECHNOLOGY
PAT_00579,COMMUNICATION
PAT_00580,BIOCHEMISTRY
PAT_00581,POLYMER_TECHNOLOGY
PAT_00582,POLYMER_TECHNOLOGY
PAT_00583,CHEMICAL
PAT_00584,MECHANICAL_ENGINEERING
PAT_00585,CHEMICAL
PAT_00586,POLYMER_TECHNOLOGY
PAT_00587,CHEMICAL
PAT_00588,BIOMEDICAL_ENGINEERING
PAT_00589,BIOCHEMISTRY
PAT_00590,POLYMER_TECHNOLOGY
PAT_00591,ELECTRONICS
PAT_00592,ELECTRONICS
PAT_00593,BIOTECHNOLOGY
PAT_00594,CHEMICAL
PAT_00595,CHEMICAL
PAT_00596,ELECTRICAL
PAT_00597,BIOCHEMISTRY
PAT_00598,BIOMEDICAL_ENGINEERING
PAT_00599,MECHANICAL_ENGINEERING
PAT_00600,CHEMICAL
PAT_00601,COMMUNICATION
PAT_00602,ELECTRONICS
PAT_00603,BIOMEDICAL_ENGINEERING
PAT_00604,TEXTILE
PAT_00605,ELECTRICAL
PAT_00606,PHYSICS
PAT_00607,BIOMEDICAL_ENGINEERING
PAT_00608,COMPUTER_SCIENCE
PAT_00609,COMPUTER_SCIENCE
PAT_00610,PHYSICS
PAT_00611,MECHANICAL_ENGINEERING
PAT_00612,POLYMER_TECHNOLOGY
PAT_00613,CHEMICAL
PAT_00614,ELECTRICAL
PAT_00615,BIOMEDICAL_ENGINEERING
PAT_00616,ELECTRONICS
PAT_00617,MECHANICAL_ENGINEERING
PAT_00618,COMMUNICATION
PAT_00619,ELECTRICAL
PAT_00620,BIOMEDICAL_ENGINEERING
PAT_00621,BIOCHEMISTRY
PAT_00622,PHYSICS
PAT_00623,MECHANICAL_ENGINEERING
PAT_00624,ELECTRONICS
PAT_00625,BIOTECHNOLOGY
PAT_00626,CHEMICAL
PAT_00627,BIOMEDICAL_ENGINEERING
PAT_00628,MECHANICAL_ENGINEERING
PAT_00629,POLYMER_TECHNOLOGY
PAT_00630,BIOTECHNOLOGY
PAT_00631,POLYMER_TECHNOLOGY
PAT_00632,BIOTECHNOLOGY
PAT_00633,MECHANICAL_ENGINEERING
PAT_00634,MECHANICAL_ENGINEERING
PAT_00635,MECHANICAL_ENGINEERING
PAT_00636,ELECTRONICS
PAT_00637,ELECTRONICS
PAT_00638,ELECTRONICS
PAT_00639,COMPUTER_SCIENCE
PAT_00640,BIOMEDICAL_ENGINEERING
PAT_00641,MECHANICAL_ENGINEERING
PAT_00642,COMMUNICATION
PAT_00643,COMPUTER_SCIENCE
PAT_00644,ELECTRONICS
PAT_00645,BIOMEDICAL_ENGINEERING
PAT_00646,MECHANICAL_ENGINEERING
PAT_00647,POLYMER_TECHNOLOGY
PAT_00648,ELECTRONICS
PAT_00649,CHEMICAL
PAT_00650,MECHANICAL_ENGINEERING
PAT_00651,BIOMEDICAL_ENGINEERING
PAT_00652,BIOMEDICAL_ENGINEERING
PAT_00653,CHEMICAL
PAT_00654,COMMUNICATION
PAT_00655,MECHANICAL_ENGINEERING
PAT_00656,MECHANICAL_ENGINEERING
PAT_00657,MECHANICAL_ENGINEERING
PAT_00658,ELECTRONICS
PAT_00659,CIVIL
PAT_00660,BIOTECHNOLOGY
PAT_00661,COMMUNICATION
PAT_00662,POLYMER_TECHNOLOGY
PAT_00663,CHEMICAL
PAT_00664,MECHANICAL_ENGINEERING
PAT_00665,ELECTRONICS
PAT_00666,PHYSICS
PAT_00667,CHEMICAL
PAT_00668,ELECTRICAL
PAT_00669,ELECTRICAL
PAT_00670,ELECTRONICS
PAT_00671,METALLURGY
PAT_00672,ELECTRONICS
PAT_00673,ELECTRONICS
PAT_00674,COMPUTER_SCIENCE
PAT_00675,ELECTRICAL
PAT_00676,MECHANICAL_ENGINEERING
PAT_00677,POLYMER_TECHNOLOGY
PAT_00678,POLYMER_TECHNOLOGY
PAT_00679,COMPUTER_SCIENCE
PAT_00680,PHYSICS
PAT_00681,BIOTECHNOLOGY
PAT_00682,BIOTECHNOLOGY
PAT_00683,BIOCHEMISTRY
PAT_00684,ELECTRONICS
PAT_00685,MECHANICAL_ENGINEERING
PAT_00686,COMMUNICATION
PAT_00687,MECHANICAL_ENGINEERING
PAT_00688,BIOCHEMISTRY
PAT_00689,BIOCHEMISTRY
PAT_00690,MECHANICAL_ENGINEERING
PAT_00691,COMMUNICATION
PAT_00692,ELECTRONICS
PAT_00693,POLYMER_TECHNOLOGY
PAT_00694,CHEMICAL
PAT_00695,COMMUNICATION
PAT_00696,ELECTRICAL
PAT_00697,BIOMEDICAL_ENGINEERING
PAT_00698,ELECTRONICS
PAT_00699,BIOMEDICAL_ENGINEERING
PAT_00700,MECHANICAL_ENGINEERING
PAT_00701,MECHANICAL_ENGINEERING
PAT_00702,COMMUNICATION
PAT_00703,CHEMICAL
PAT_00704,BIOCHEMISTRY
PAT_00705,BIOMEDICAL_ENGINEERING
PAT_00706,PHYSICS
PAT_00707,CHEMICAL
PAT_00708,CHEMICAL
PAT_00709,BIOMEDICAL_ENGINEERING
PAT_00710,BIOTECHNOLOGY
PAT_00711,PHYSICS
PAT_00712,PHYSICS
PAT_00713,COMPUTER_SCIENCE
PAT_00714,PHYSICS
PAT_00715,MECHANICAL_ENGINEERING
PAT_00716,ELECTRONICS
PAT_00717,ELECTRICAL
PAT_00718,CHEMICAL
PAT_00719,ELECTRICAL
PAT_00720,ELECTRONICS
PAT_00721,ELECTRONICS
PAT_00722,ELECTRONICS
PAT_00723,PHYSICS
PAT_00724,ELECTRONICS
PAT_00725,ELECTRONICS
PAT_00726,ELECTRONICS
PAT_00727,POLYMER_TECHNOLOGY
PAT_00728,POLYMER_TECHNOLOGY
PAT_00729,ELECTRONICS
PAT_00730,BIOMEDICAL_ENGINEERING
PAT_00731,PHYSICS
PAT_00732,BIOMEDICAL_ENGINEERING
PAT_00733,BIOCHEMISTRY
PAT_00734,BIOTECHNOLOGY
PAT_00735,BIOMEDICAL_ENGINEERING
PAT_00736,CHEMICAL
PAT_00737,BIOCHEMISTRY
PAT_00738,COMMUNICATION
PAT_00739,BIOMEDICAL_ENGINEERING
PAT_00740,MECHANICAL_ENGINEERING
PAT_00741,ELECTRICAL
PAT_00742,CHEMICAL
PAT_00743,CHEMICAL
PAT_00744,CHEMICAL
PAT_00745,PHYSICS
PAT_00746,BIOMEDICAL_ENGINEERING
PAT_00747,CHEMICAL
PAT_00748,CHEMICAL
PAT_00749,CHEMICAL
PAT_00750,ELECTRICAL
PAT_00751,CHEMICAL
