record_id,source_table,keyword,score,rank
30,grants,transmission mosquito,0.5911,1
30,grants,mosquito control,0.5749,2
30,grants,vector ecology,0.518,3
30,grants,ecology pathogen,0.5102,4
30,grants,aedes aegypti,0.5064,5
30,grants,mosquito,0.4915,6
30,grants,pathogen transmission,0.4284,7
30,grants,vector aedes,0.4067,8
31,grants,exciton condensation,0.5972,1
31,grants,waals heterostructure,0.5361,2
31,grants,correlated electron,0.4599,3
31,grants,electron state,0.4332,4
31,grants,heterostructure,0.4229,5
31,grants,condensation double,0.4061,6
31,grants,layer van,0.3371,7
31,grants,state exciton,0.3268,8
32,grants,artificial basilar,0.6383,1
32,grants,basilar epithelium,0.6324,2
32,grants,fabrication flexible,0.5602,3
32,grants,flexible artificial,0.5452,4
32,grants,design fabrication,0.447,5
32,grants,epithelium,0.3996,6
32,grants,basilar,0.3756,7
32,grants,fabrication,0.3471,8
33,grants,energy storage,0.5456,1
33,grants,hydrate base,0.468,2
33,grants,storage thermal,0.4657,3
33,grants,salt hydrate,0.4564,4
33,grants,management batteries,0.4245,5
33,grants,base thermochemical,0.3817,6
33,grants,hydrate,0.3693,7
33,grants,thermal management,0.3654,8
34,grants,geomaterial use,0.5674,1
34,grants,geomaterial,0.5131,2
34,grants,mud architecture,0.5087,3
34,grants,framework geomaterial,0.4881,4
34,grants,principle termite,0.4647,5
34,grants,wasp mud,0.4322,6
34,grants,termite,0.4194,7
34,grants,compare bioengineere,0.3656,8
35,grants,indian waterbodie,0.5839,1
35,grants,waterbodie quantification,0.5548,2
35,grants,lead laden,0.4657,3
35,grants,quantification alleviation,0.4166,4
35,grants,waterbodie,0.4148,5
35,grants,legacy indian,0.4026,6
35,grants,alleviation,0.3675,7
35,grants,lead,0.3531,8
36,grants,vector processor,0.676,1
36,grants,precision machine,0.4596,2
36,grants,processor design,0.4165,3
36,grants,weight precision,0.4152,4
36,grants,bit width,0.4093,5
36,grants,vector,0.3728,6
36,grants,low bit,0.3687,7
36,grants,processor,0.3665,8
37,grants,centre electrochemical,0.5917,1
37,grants,performance batteries,0.5899,2
37,grants,energy storage,0.5694,3
37,grants,electrochemical energy,0.5253,4
37,grants,electrochemical,0.4883,5
37,grants,batteries,0.4094,6
37,grants,storage design,0.3513,7
37,grants,storage,0.2563,8
38,grants,algebraic complexity,0.6127,1
38,grants,bound learn,0.5421,2
38,grants,complexity theory,0.5218,3
38,grants,complexity,0.4836,4
38,grants,low bound,0.4709,5
38,grants,hit set,0.4363,6
38,grants,learn algebraic,0.4214,7
38,grants,bound,0.3314,8
39,grants,nanomaterial assembly,0.6316,1
39,grants,matrix nanomaterial,0.5582,2
39,grants,liquid crystal,0.5309,3
39,grants,crystal matrix,0.4857,4
39,grants,assembly manipulation,0.4787,5
39,grants,nanomaterial,0.3818,6
39,grants,assembly,0.3815,7
39,grants,crystal,0.3364,8
41,grants,co2 methanol,0.6553,1
41,grants,hydrogenation carbon,0.5394,2
41,grants,hydrogenation,0.496,3
41,grants,dioxide co2,0.4801,4
41,grants,co2,0.477,5
41,grants,methanol dme,0.4729,6
41,grants,fuel domestic,0.4631,7
41,grants,alternative fuel,0.4514,8
42,grants,brake disc,0.5037,1
42,grants,5si composite,0.4856,2
42,grants,composite automobile,0.4713,3
42,grants,disc,0.4585,4
42,grants,disc cast,0.4577,5
42,grants,situ al,0.4559,6
42,grants,composite process,0.4425,7
42,grants,al 15mg2si,0.4417,8
43,grants,fabricating antimicrobial,0.8119,1
43,grants,antimicrobial layer,0.6847,2
43,grants,coated fabric,0.6727,3
43,grants,layer fabric,0.6688,4
43,grants,fabric coated,0.6508,5
43,grants,fabric thereof,0.6085,6
43,grants,antimicrobial,0.5815,7
43,grants,fabric,0.576,8
45,grants,nanopore base,0.6951,1
45,grants,state nanopore,0.6598,2
45,grants,nanopore,0.6205,3
45,grants,molecule protein,0.5327,4
45,grants,single molecule,0.5159,5
45,grants,molecule,0.4535,6
45,grants,protein sequence,0.4273,7
45,grants,limit solid,0.3696,8
46,grants,blind modulation,0.6833,1
46,grants,modulation classification,0.6101,2
46,grants,modulation,0.513,3
46,grants,classification bmc,0.4551,4
46,grants,single carrier,0.4306,5
46,grants,modulate signal,0.4274,6
46,grants,bmc method,0.426,7
46,grants,signal single,0.4198,8
47,grants,acoustic modeling,0.6676,1
47,grants,analysis pulmonary,0.6195,2
47,grants,pulmonary,0.5228,3
47,grants,acoustic,0.4473,4
47,grants,modeling analysis,0.319,5
47,grants,modeling,0.3042,6
47,grants,analysis,0.0756,7
48,grants,propagation periodic,0.6153,1
48,grants,nonlinear wave,0.597,2
48,grants,wave propagation,0.5649,3
48,grants,medium perturbation,0.539,4
48,grants,dispersion relation,0.5357,5
48,grants,dispersion,0.4849,6
48,grants,periodic medium,0.4471,7
48,grants,nonlinear,0.4202,8
49,grants,boltzmann transport,0.5907,1
49,grants,solution boltzmann,0.5849,2
49,grants,electron relaxation,0.5659,3
49,grants,equation phonon,0.535,4
49,grants,transport equation,0.5246,5
49,grants,phonon electron,0.4993,6
49,grants,boltzmann,0.4378,7
49,grants,relaxation time,0.3589,8
50,grants,networked cps,0.6216,1
50,grants,optimal topology,0.5834,2
50,grants,resilient networked,0.5624,3
50,grants,topology design,0.553,4
50,grants,design resilient,0.4555,5
50,grants,cps,0.3622,6
50,grants,topology,0.3277,7
50,grants,networked,0.3089,8
51,grants,cosmological imprint,0.7133,1
51,grants,field inflation,0.6119,2
51,grants,investigate cosmological,0.5527,3
51,grants,cosmological,0.55,4
51,grants,dynamical gauge,0.5091,5
51,grants,inflation,0.49,6
51,grants,imprint dynamical,0.4713,7
51,grants,gauge field,0.4141,8
52,grants,frontier particle,0.6476,1
52,grants,particle physic,0.6054,2
52,grants,lifetime frontier,0.5751,3
52,grants,particle,0.4785,4
52,grants,lifetime,0.3861,5
52,grants,investigation lifetime,0.3396,6
52,grants,frontier,0.3019,7
52,grants,physic,0.245,8
53,grants,noise heterogeneity,0.6436,1
53,grants,intrinsic noise,0.6304,2
53,grants,heterogeneity ecosystem,0.6024,3
53,grants,ecosystem dynamic,0.5956,4
53,grants,ecosystem,0.5042,5
53,grants,mathematical models,0.4605,6
53,grants,models intrinsic,0.4242,7
53,grants,noise,0.4151,8
54,grants,aspect physics,0.7505,1
54,grants,theoretical aspect,0.5809,2
54,grants,aspect,0.5675,3
54,grants,standard models,0.5398,4
54,grants,physics standard,0.4881,5
54,grants,models,0.4427,6
54,grants,theoretical,0.3523,7
54,grants,physics,0.3311,8
55,grants,kahler geometry,0.7396,1
55,grants,problem kahler,0.6645,2
55,grants,existence rigidity,0.6619,3
55,grants,rigidity problem,0.6312,4
55,grants,kahler,0.5508,5
55,grants,rigidity,0.5084,6
55,grants,existence,0.3205,7
55,grants,geometry,0.2735,8
56,grants,ergodic principle,0.7701,1
56,grants,iwasawa theory,0.6928,2
56,grants,ergodic,0.6546,3
56,grants,principle iwasawa,0.6188,4
56,grants,iwasawa,0.4881,5
56,grants,theory,0.2949,6
56,grants,principle,0.2419,7
57,grants,soil microbial,0.6321,1
57,grants,antibiotic pollution,0.5997,2
57,grants,microbial function,0.5516,3
57,grants,nitrogen cycle,0.5397,4
57,grants,effect antibiotic,0.4997,5
57,grants,pollution soil,0.4947,6
57,grants,function nitrogen,0.4903,7
57,grants,microbial,0.4804,8
58,grants,epoxy mediate,0.5684,1
58,grants,cure epoxy,0.5297,2
58,grants,recyclable fast,0.5111,3
58,grants,loop recyclable,0.5064,4
58,grants,covalent adaptable,0.5031,5
58,grants,epoxy,0.4983,6
58,grants,mediate covalent,0.4703,7
58,grants,recyclable,0.4616,8
59,grants,hall effect,0.6491,1
59,grants,linear hall,0.5893,2
59,grants,mechanism material,0.4867,3
59,grants,hall,0.4224,4
59,grants,effect mechanism,0.3818,5
59,grants,non linear,0.3463,6
59,grants,material,0.2832,7
59,grants,mechanism,0.2632,8
60,grants,swimming chlamydomonas,0.8374,1
60,grants,chlamydomonas reinhardtii,0.7992,2
60,grants,chlamydomonas,0.6753,3
60,grants,collective swimming,0.533,4
60,grants,reinhardtii confinement,0.5308,5
60,grants,reinhardtii,0.4367,6
60,grants,swimming,0.3944,7
60,grants,confinement,0.3246,8
61,grants,membrane separation,0.5062,1
61,grants,curcumin turmeric,0.505,2
61,grants,cost membrane,0.4459,3
61,grants,turmeric,0.4317,4
61,grants,grade curcumin,0.3954,5
61,grants,turmeric low,0.3901,6
61,grants,analysis isolation,0.3817,7
61,grants,curcumin,0.3725,8
62,grants,2d nanoresonator,0.8492,1
62,grants,nanoresonator,0.7113,2
62,grants,couple dynamic,0.4857,3
62,grants,dynamic 2d,0.413,4
62,grants,couple,0.3338,5
62,grants,2d,0.2666,6
62,grants,dynamic,0.1984,7
63,grants,optical logic,0.4765,1
63,grants,core photonic,0.4056,2
63,grants,photonic crystal,0.4048,3
63,grants,quantum computing,0.3861,4
63,grants,efficient optical,0.3822,5
63,grants,subtractor soliton,0.3799,6
63,grants,soliton base,0.3752,7
63,grants,soliton dynamic,0.3712,8
64,grants,battery photovoltaic,0.6751,1
64,grants,photovoltaic cells,0.6224,2
64,grants,integrated battery,0.5458,3
64,grants,composites integrated,0.5365,4
64,grants,photovoltaic,0.5079,5
64,grants,advanced composites,0.4629,6
64,grants,composites,0.3419,7
64,grants,battery,0.3125,8
65,grants,green ironmaking,0.5186,1
65,grants,ironmaking multiscale,0.5164,2
65,grants,blast furnace,0.4929,3
65,grants,shaft furnace,0.4873,4
65,grants,furnace validation,0.484,5
65,grants,furnace dri,0.4562,6
65,grants,ironmaking,0.3792,7
65,grants,hydrogen injection,0.378,8
67,grants,fabricated cfrp,0.5115,1
67,grants,cenosphere reinforced,0.473,2
67,grants,cfrp face,0.466,3
67,grants,composite fabricated,0.452,4
67,grants,sandwich composite,0.4371,5
67,grants,reinforced peek,0.3898,6
67,grants,resistant sandwich,0.3865,7
67,grants,impact resistant,0.367,8
68,grants,nanoelectrode array,0.6683,1
68,grants,nanoelectrode,0.6023,2
68,grants,recording neural,0.5739,3
68,grants,neural activity,0.4841,4
68,grants,neural,0.4113,5
68,grants,recording,0.3677,6
68,grants,resolution recording,0.3366,7
68,grants,array high,0.2193,8
66,grants,affine demazure,0.8092,1
66,grants,demazure module,0.7639,2
66,grants,study affine,0.5662,3
66,grants,affine,0.5106,4
66,grants,demazure,0.5019,5
66,grants,module,0.4347,6
66,grants,study,0.0639,7
69,grants,piezoelectric mems,0.8069,1
69,grants,mems resonator,0.7256,2
69,grants,merit piezoelectric,0.6485,3
69,grants,piezoelectric,0.573,4
69,grants,mems,0.4942,5
69,grants,resonator,0.4741,6
69,grants,design architecture,0.2722,7
69,grants,new design,0.2616,8
70,grants,burner decarbonization,0.69,1
70,grants,simulation combustion,0.6885,2
70,grants,combustion dynamic,0.614,3
70,grants,reheat burner,0.5714,4
70,grants,burner,0.4915,5
70,grants,combustion,0.4902,6
70,grants,hydrogen reheat,0.4732,7
70,grants,dynamic hydrogen,0.409,8
71,grants,datum center,0.5767,1
71,grants,low latency,0.5378,2
71,grants,transport protocol,0.5139,3
71,grants,latency,0.5135,4
71,grants,center network,0.4918,5
71,grants,datum,0.4709,6
71,grants,network transport,0.4604,7
71,grants,protocol low,0.455,8
72,grants,woven nanofiber,0.6725,1
72,grants,non woven,0.5415,2
72,grants,woven,0.5193,3
72,grants,nanofiber networks,0.5034,4
72,grants,mechanics deformation,0.4406,5
72,grants,composites,0.3954,6
72,grants,nanofiber,0.3848,7
72,grants,networks composites,0.3772,8
73,grants,bandit drones,0.649,1
73,grants,drones data,0.601,2
73,grants,lens computational,0.5999,3
73,grants,computational geometry,0.5268,4
73,grants,drones,0.5037,5
73,grants,structures lens,0.4745,6
73,grants,bandit,0.4353,7
73,grants,lens,0.434,8
74,grants,luminescent boron,0.6472,1
74,grants,chiroptical materials,0.5558,2
74,grants,boron base,0.4853,3
74,grants,base chiroptical,0.4627,4
74,grants,bio imaging,0.446,5
74,grants,boron,0.4154,6
74,grants,strongly luminescent,0.4052,7
74,grants,luminescent,0.3909,8
75,grants,negative capacitance,0.5042,1
75,grants,print flexible,0.4748,2
75,grants,transistor nc,0.4583,3
75,grants,nc fets,0.457,4
75,grants,flexible negative,0.4317,5
75,grants,fets logic,0.4248,6
75,grants,capacitance field,0.4196,7
75,grants,capacitance,0.3881,8
76,grants,transition metal,0.5606,1
76,grants,modulation doping,0.5444,2
76,grants,phase transitions,0.5266,3
76,grants,transitions transition,0.4396,4
76,grants,metal compounds,0.4056,5
76,grants,interfacial phase,0.3846,6
76,grants,transitions,0.3722,7
76,grants,transition,0.3512,8
77,grants,ml accelerator,0.6786,1
77,grants,inertia memory,0.639,2
77,grants,accelerator,0.4872,3
77,grants,unified ml,0.4523,4
77,grants,efficient unified,0.4204,5
77,grants,inertia,0.4176,6
77,grants,memory computing,0.4164,7
77,grants,ml,0.3382,8
78,grants,magnetic swarm,0.7977,1
78,grants,swarm,0.5502,2
78,grants,active magnetic,0.5468,3
78,grants,collective behaviour,0.4208,4
78,grants,magnetic,0.3948,5
78,grants,collective,0.3367,6
78,grants,numerical experimental,0.3146,7
78,grants,behaviour active,0.2884,8
79,grants,channel gallium,0.5938,1
79,grants,gallium nitride,0.5887,2
79,grants,microwave transistor,0.5684,3
79,grants,nitride microwave,0.5414,4
79,grants,fin channel,0.4414,5
79,grants,transistor,0.4348,6
79,grants,gallium,0.3898,7
79,grants,nitride,0.3414,8
80,grants,functional biomaterials,0.6406,1
80,grants,biomaterials spaces,0.6054,2
80,grants,materials research,0.5975,3
80,grants,biomaterials,0.5663,4
80,grants,advancing materials,0.478,5
80,grants,applications structural,0.4737,6
80,grants,materials,0.4287,7
80,grants,structural functional,0.4279,8
81,grants,harvesting chlorosomes,0.5549,1
81,grants,exciton delocalization,0.5051,2
81,grants,chlorosomes,0.4692,3
81,grants,chlorosomes dimensional,0.4683,4
81,grants,light harvesting,0.4319,5
81,grants,electronic spectroscopy,0.4304,6
81,grants,spectroscopy,0.3762,7
81,grants,ultrafast internal,0.3744,8
82,grants,fractional orbitals,0.5434,1
82,grants,bind gauge,0.4635,2
82,grants,orbitals tight,0.4263,3
82,grants,gauge fields,0.3655,4
82,grants,orbitals,0.3487,5
82,grants,theory simulation,0.318,6
82,grants,fractional,0.3132,7
82,grants,tight bind,0.3069,8
83,grants,mechanism degradation,0.5649,1
83,grants,degradation compositionally,0.5248,2
83,grants,corrosive environment,0.5121,3
83,grants,component alloy,0.5035,4
83,grants,alloy severe,0.4986,5
83,grants,severe corrosive,0.4669,6
83,grants,alloy,0.4484,7
83,grants,corrosive,0.4271,8
84,grants,rivers geomorphology,0.5936,1
84,grants,indian rivers,0.5925,2
84,grants,streamflow records,0.4752,3
84,grants,rivers,0.4426,4
84,grants,reconstream systematic,0.429,5
84,grants,term streamflow,0.4212,6
84,grants,streamflow,0.405,7
84,grants,geomorphology guided,0.4011,8
85,grants,mechanochemical feedback,0.7048,1
85,grants,dynamic mechanochemical,0.6069,2
85,grants,hermitian dynamic,0.5828,3
85,grants,mechanochemical,0.4609,4
85,grants,non hermitian,0.4567,5
85,grants,hermitian,0.385,6
85,grants,theoretical investigation,0.2551,7
85,grants,dynamic,0.2356,8
86,grants,coâ electroreduction,0.4808,1
86,grants,design catalyst,0.4348,2
86,grants,process coâ,0.4005,3
86,grants,multiscale modeling,0.3817,4
86,grants,catalyst process,0.3652,5
86,grants,catalyst,0.317,6
86,grants,modeling design,0.3002,7
86,grants,electroreduction,0.2649,8
87,grants,magnetic conduct,0.5663,1
87,grants,particle time,0.5636,2
87,grants,conduct particle,0.5559,3
87,grants,dependent magnetic,0.5393,4
87,grants,magnetic field,0.5131,5
87,grants,time dependent,0.4251,6
87,grants,magnetic,0.3777,7
87,grants,particle,0.307,8
16,grants,polar codes,0.7635,1
16,grants,codes learning,0.6695,2
16,grants,base codes,0.6109,3
16,grants,analysis polar,0.47,4
16,grants,learning base,0.4148,5
16,grants,polar,0.4124,6
16,grants,codes,0.4044,7
16,grants,design analysis,0.3489,8
17,grants,advanced composites,0.6804,1
17,grants,composites development,0.6335,2
17,grants,composites,0.462,3
17,grants,design advanced,0.4301,4
17,grants,scale design,0.4222,5
17,grants,manufacturing technologies,0.3824,6
17,grants,new manufacturing,0.3478,7
17,grants,multi scale,0.3409,8
19,grants,coding theory,0.6638,1
19,grants,distribute communication,0.6337,2
19,grants,communication computing,0.6258,3
19,grants,robust distribute,0.5972,4
19,grants,coding,0.511,5
19,grants,computing systems,0.4499,6
19,grants,distribute,0.4315,7
19,grants,communication,0.3798,8
88,grants,creep fatigue,0.4708,1
88,grants,ferritic martensitic,0.4485,2
88,grants,ods steel,0.4431,3
88,grants,martensitic ods,0.3889,4
88,grants,9cr ferritic,0.3527,5
88,grants,steel integrated,0.3374,6
88,grants,fatigue behavior,0.3275,7
88,grants,creep,0.3206,8
89,grants,sandworm propulsion,0.7605,1
89,grants,robotic sandworm,0.7121,2
89,grants,propulsion deformable,0.5775,3
89,grants,sandworm,0.5037,4
89,grants,object particulate,0.4983,5
89,grants,propulsion,0.4574,6
89,grants,particulate medium,0.4284,7
89,grants,deformable object,0.422,8
90,grants,train regularizers,0.6272,1
90,grants,base reconstruction,0.4627,2
90,grants,grounded model,0.4487,3
90,grants,regularizers,0.4437,4
90,grants,reconstruction train,0.436,5
90,grants,model base,0.3837,6
90,grants,model,0.3375,7
90,grants,train,0.3108,8
91,grants,hydrodynamic state,0.5033,1
91,grants,state electron,0.4984,2
91,grants,trivial hydrodynamic,0.4673,3
91,grants,electron,0.4506,4
91,grants,transport phenomenon,0.435,5
91,grants,hydrodynamic,0.3896,6
91,grants,novel transport,0.3885,7
91,grants,phenomenon topologically,0.3584,8
92,grants,cave fauna,0.6981,1
92,grants,indian cave,0.6802,2
92,grants,troglomorphy indian,0.6188,3
92,grants,cave,0.4516,4
92,grants,fauna,0.436,5
92,grants,troglomorphy,0.4257,6
92,grants,genetic basis,0.421,7
92,grants,decipher genetic,0.418,8
93,grants,magnetic heterostructures,0.5302,1
93,grants,memory iot,0.5201,2
93,grants,3d magnetic,0.4611,3
93,grants,heterostructures ai,0.4607,4
93,grants,iot sensing,0.4061,5
93,grants,iot,0.3922,6
93,grants,heterostructures,0.3631,7
93,grants,magnetic,0.3539,8
94,grants,innovations 3gpp,0.5944,1
94,grants,3gpp compliant,0.5691,2
94,grants,terrestrial networks,0.5123,3
94,grants,networks physical,0.4891,4
94,grants,compliant prototyping,0.4877,5
94,grants,layer innovations,0.4853,6
94,grants,3gpp,0.4357,7
94,grants,prototyping,0.4187,8
95,grants,quantum matter,0.5061,1
95,grants,transport optics,0.488,2
95,grants,correlated quantum,0.463,3
95,grants,moirã systems,0.4416,4
95,grants,optics moirã,0.4312,5
95,grants,quantum,0.3986,6
95,grants,bridge transport,0.3851,7
95,grants,strongly correlated,0.2786,8
96,grants,raman spectroscopy,0.5712,1
96,grants,hydrogel mechanical,0.5466,2
96,grants,spectroscopy polymer,0.5151,3
96,grants,polymer networks,0.5007,4
96,grants,hydrogel,0.4923,5
96,grants,situ raman,0.4907,6
96,grants,tailor hydrogel,0.4881,7
96,grants,raman,0.4418,8
97,grants,metasurfaces terahertz,0.7544,1
97,grants,terahertz communication,0.6905,2
97,grants,terahertz,0.5394,3
97,grants,time metasurfaces,0.511,4
97,grants,metasurfaces,0.4582,5
97,grants,multi frequency,0.3569,6
97,grants,communication sensing,0.3434,7
97,grants,frequency space,0.3105,8
98,grants,graphene dissipationless,0.7295,1
98,grants,rhombohedral graphene,0.69,2
98,grants,graphene,0.6091,3
98,grants,dissipationless electronic,0.5437,4
98,grants,phase rhombohedral,0.3906,5
98,grants,quantum phase,0.3521,6
98,grants,tailor quantum,0.3404,7
98,grants,dissipationless,0.336,8
99,grants,antimicrobial peptides,0.6466,1
99,grants,peptides realistic,0.5653,2
99,grants,bacterial membrane,0.5553,3
99,grants,interactions antimicrobial,0.5317,4
99,grants,peptides,0.5252,5
99,grants,membrane model,0.5139,6
99,grants,realistic bacterial,0.4161,7
99,grants,antimicrobial,0.4029,8
100,grants,temperature resilience,0.5854,1
100,grants,reef ecosystems,0.5624,2
100,grants,response climate,0.4821,3
100,grants,ecology behaviour,0.4806,4
100,grants,change coral,0.4719,5
100,grants,climate change,0.4458,6
100,grants,reef rise,0.4367,7
100,grants,integrating ecology,0.4338,8
101,grants,spreader thermal,0.7434,1
101,grants,passive spreader,0.5639,2
101,grants,spreader,0.5002,3
101,grants,flux electronic,0.3778,4
101,grants,heat flux,0.3639,5
101,grants,thermal management,0.3612,6
101,grants,phase passive,0.3333,7
101,grants,thermal,0.3124,8
102,grants,film transistors,0.4581,1
102,grants,temperature plasma,0.412,2
102,grants,transistors low,0.3956,3
102,grants,deposition beol,0.3751,4
102,grants,enhance deposition,0.3462,5
102,grants,beol cmo,0.3459,6
102,grants,transistors,0.3335,7
102,grants,plasma enhance,0.3246,8
104,grants,ultrasonic atomizer,0.7202,1
104,grants,simulation ultrasonic,0.6384,2
104,grants,multiphase simulation,0.5422,3
104,grants,atomizer biomedical,0.5237,4
104,grants,ultrasonic,0.4998,5
104,grants,multiscale multiphase,0.4726,6
104,grants,atomizer,0.405,7
104,grants,multiphase,0.3525,8
105,grants,kahler geometry,0.6023,1
105,grants,bundle physics,0.5638,2
105,grants,vector bundle,0.5343,3
105,grants,holomorphic vector,0.5177,4
105,grants,application kahler,0.5045,5
105,grants,geometry holomorphic,0.4619,6
105,grants,nonlinear equation,0.4491,7
105,grants,kahler,0.422,8
106,grants,entanglement entropy,0.7249,1
106,grants,entropy harish,0.6182,2
106,grants,chandra character,0.5432,3
106,grants,entanglement,0.529,4
106,grants,harish chandra,0.4799,5
106,grants,entropy,0.4508,6
106,grants,chandra,0.4268,7
106,grants,harish,0.2893,8
107,grants,quantum error,0.6141,1
107,grants,operators quantum,0.4973,2
107,grants,fault tolerant,0.4835,3
107,grants,correcting codes,0.4617,4
107,grants,quantum,0.4419,5
107,grants,logical operators,0.4322,6
107,grants,tolerant logical,0.3919,7
107,grants,error correcting,0.3554,8
109,grants,percolation model,0.7673,1
109,grants,phenomenon percolation,0.7138,2
109,grants,percolation,0.6887,3
109,grants,random tree,0.5948,4
109,grants,random graph,0.582,5
109,grants,graph random,0.5704,6
109,grants,critical phenomenon,0.4805,7
109,grants,model random,0.4241,8
110,grants,bergman space,0.7289,1
110,grants,toeplitz operator,0.6427,2
110,grants,hardy bergman,0.6068,3
110,grants,bergman,0.5919,4
110,grants,operator hardy,0.5443,5
110,grants,toeplitz,0.4765,6
110,grants,space domain,0.3624,7
110,grants,operator,0.3415,8
111,grants,gpu computing,0.6581,1
111,grants,centric gpu,0.6554,2
111,grants,gpu,0.5681,3
111,grants,power supplies,0.4864,4
111,grants,current compact,0.368,5
111,grants,supplies ai,0.3649,6
111,grants,compact power,0.3611,7
111,grants,ai centric,0.3142,8
112,grants,communication learning,0.5724,1
112,grants,sensing communication,0.5697,2
112,grants,learning multi,0.4981,3
112,grants,efficient sensing,0.4947,4
112,grants,multi modal,0.4611,5
112,grants,sensing,0.4389,6
112,grants,modal artificial,0.4177,7
112,grants,communication,0.3724,8
113,grants,gm cryocooler,0.611,1
113,grants,nitrogen biogas,0.5255,2
113,grants,cryocooler base,0.5145,3
113,grants,biogas liquefi,0.5133,4
113,grants,helium nitrogen,0.4862,5
113,grants,cryocooler,0.4454,6
113,grants,biogas,0.4334,7
113,grants,hydrogen helium,0.4068,8
114,grants,quantum hpc,0.5667,1
114,grants,material modeling,0.413,2
114,grants,hybrid quantum,0.3651,3
114,grants,ab initio,0.3199,4
114,grants,hpc accelerate,0.3133,5
114,grants,initio material,0.3044,6
114,grants,computational method,0.3019,7
114,grants,quantum,0.2872,8
115,grants,social learning,0.6327,1
115,grants,social,0.4674,2
115,grants,learning offset,0.446,3
115,grants,bounded rationality,0.4338,4
115,grants,learning,0.424,5
115,grants,rationality,0.3857,6
115,grants,offset bounded,0.3605,7
115,grants,offset,0.255,8
116,grants,adaptive galerkin,0.6329,1
116,grants,galerkin framework,0.5783,2
116,grants,galerkin,0.4598,3
116,grants,population dynamics,0.4056,4
116,grants,hp adaptive,0.3961,5
116,grants,space pde,0.3668,6
116,grants,age space,0.346,7
116,grants,structured population,0.3285,8
117,grants,virtual automation,0.7097,1
117,grants,augmented virtual,0.6793,2
117,grants,automation lab,0.648,3
117,grants,virtual reality,0.5917,4
117,grants,lab augmented,0.5358,5
117,grants,automation,0.5268,6
117,grants,virtual,0.4823,7
117,grants,augmented,0.384,8
118,grants,differential algebraic,0.5035,1
118,grants,numerical solution,0.4521,2
118,grants,solution differential,0.4412,3
118,grants,efficient numerical,0.4149,4
118,grants,deep learning,0.4062,5
118,grants,algebraic equations,0.3923,6
118,grants,equations,0.3788,7
118,grants,learning efficient,0.361,8
119,grants,nailfold capillaroscopy,0.8104,1
119,grants,capillaroscopy diagnosis,0.6285,2
119,grants,technique nailfold,0.5824,3
119,grants,nailfold,0.5676,4
119,grants,capillaroscopy,0.5641,5
119,grants,diabetes mellitus,0.4069,6
119,grants,type diabetes,0.373,7
119,grants,diabetes,0.3682,8
120,grants,wearable antennas,0.6561,1
120,grants,dynamic iot,0.5705,2
120,grants,antennas dynamic,0.5133,3
120,grants,iot connectivity,0.504,4
120,grants,flexible wearable,0.4352,5
120,grants,iot,0.4129,6
120,grants,wearable,0.3884,7
120,grants,antennas,0.3676,8
121,grants,anomaly detection,0.6322,1
121,grants,anomaly,0.4805,2
121,grants,mobile computing,0.4668,3
121,grants,detection machine,0.3945,4
121,grants,techniques mobile,0.3602,5
121,grants,machine intelligence,0.3465,6
121,grants,mobile,0.339,7
121,grants,computing networks,0.3164,8
122,grants,smart reporter,1.0,1
